TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	AResponse	AllResponse	TheResponse
177088:4	how can you really deal with an environment where you're going *-1 to lose everything *t*-2 *t*-3.	###speakerb26.### t-, they're only going *-1 to suffer.### they, they've defeated themselves with, with their looting and violence.###uh, i understand why they were upset *-2 by the verdict *t*-3 just because even those of us that *t*-1 aren't black or, uh, don't live there or whatever, we all saw the same thing on the, on the tape###and, uh,###speakera27.###well e-, everybody is saying 0 this is going *-1 to be a new era###and we're going *-1 to reexamine this thing.###hey, the b-, the average person is going *-1 to take a look at that and say, suspicions confirmed.###they're a bunch of animals, you know.	how	yes	What is a way...?	What is every way...?	What is the way...?
163206:45	what would you do *t*-3 about,	###speakerb22.###you know, that's a,###i've nailed the problem down###but i,###speakera23.###speakerb24.###speakera25.###* leave the details up to somebody else, huh.###speakerb26.###yeah,i'm going *-1 to have *-2 to leave those details like, 	what	yes	What is a thing...?	What is every thing...?	What is the thing...?
105249:5	what more could you ask for *t*-1?	###uh-huh.###speakera53.###and i like *-1 to sight see###and i love *-1 to shop.###speakerb54.###uh-huh.###speakera55.###so it's,###speakerb56.###so that's perfect.	what	yes	What is a thing...?	What is every thing...?	What is the thing...?
103191:13	but, uh, who *t*-1 knows what the future will hold *t*-2. uh, as far as energy goes,	###speakera61.###yes.###speakerb62.###it's just 0 we can't control it.###right now it *exp*-1 takes more energy *ich*-2 * to cause fusion to occur then you get *?* out,###so, it isn't *?*,###not at all,###and you can't control it unless you gotten a huge electromagnetic field,###so that's not going *-1 to work.###at least not now.	who	yes	Who is a person...?	Who is every person...?	Who is the person...?
44160:45	or, you know, why, why, why * intervene in another country's, you know, problems *t*-1 and things like that.	###speakerb16.###uh-huh.###speakera17.###and that their governments can become so corrupt###and it's like,###well, you know, i use *-1 to feel like,###speakerb18.###speakera19.###well, they, they, should work their way, you know,###they should, should be able *-1 to work their self out of it	why	no	What is a reason...?	What is every reason...?	What is the reason...?
51235:4	why * get rid *-1 of him now *t*-2?	###i think 0 they're in for a odd year this year,###actually, um, they, um,###i don't understand why encovilla got released *-1 *t*-2.###speakerb25.###i don't either.###i mean, the guy's twenty, twenty-five home rums, maybe thirty, eighty some r b i-s.###speakera26.###i mean, he, you know, he can't field###and, you know, he strikes out a lot,###but, i mean, he's done that for five years.	why	no	What is a reason...?	What is every reason...?	What is the reason...?
164748:9	oh, when did it happen *t*-1?	###speakera31.###well, that must be pretty bad.###so, how did that happen *t*-1, anyway?###speakerb32.###uh, financial trouble.###speakera33.###no,###not how,###i mean, when did it, when did they mumblex,###speakerb34.	when	no	What is a time...?	What is every time...?	What is the time...?
165968:23	what do you, what do you looking for *t*-1 in, in those?	###yeah,### that, that would be a good deal 0 * to go with *t*-1.###speakera57.###and the other thing 0 we're looking at *t*-1 is the saturns too.###speakerb58.###okay.###speakera59.###because they looked really nice.###speakerb60.###uh-huh.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
93254:4	what's the best part *t*-1, from your point of view?	###my husband would *?*, you know,###the minute 0 i said the word *t*-1, he, he, he's chomping at the bit.###speakera82.###speakerb83.###he kind of likes the casinos a little bit.###speakera84.###uh-huh.###speakerb85.###but i like all of that.###speakera86.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
8878:4	what *t*-1 are some of your things 0 you like *-2 to do *t*-3?	###speakerb4.###as you know, i think 0 it's more like the mess 0 you make *t*-1, isn't it *?*?###you don't have *-1 to worry about *-2 cleaning it up.###speakera5.###yeah,###because it's, it's out there.###you know i don't have *-1 to worry about *-2 getting stuff on the carpet except when i track in saw dust *t*-3,###and the wife gets kind of aggravated about that,###but then, i get the opportunity *-1 to vacuum,###so i guess 0 i get some of both.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
92671:8	and, what did she do *t*-1 with the,	###speakera29.###so it *ich*-1's wonderful that we've come that far, i think 0 *t*-2###but, um.###speakerb30.###what did she do with *t*-1,### if, if she,###was she like a group that *t*-1 was doing it,###speakera31.###speakerb32.###or was she doing it on her own,	what	no	What is a thing...?	What is every thing...?	What is the thing...?
15539:4	what have you seen *t*-1 lately?	###uh-huh.###speakera49.###speakerb50.###uh-huh.###speakera51.###but it was a very good movie.###speakerb52.###uh-huh.###well, i guess 0 i will have *-1 to see it then.###speakera53.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
31349:14	so, uh, what do you think *t*-1 about it?	###maybe i should volunteer *-1 to, you know, teach what i know *t*-2.###speakerb99.###yeah.###speakera100.###maybe adult literacy. maybe, you know, composition writing. maybe, you know, uh, * volunteering, you know, on a tutor line or though the, even through the elementary schools for help with homework###or, the other part of me says, is god, i've had enough kids.###do i reall-,.###speakerb101.###speakera1.###okay.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
106104:9	uh, what do you think *t*-1?	###mostly the thing was that it was available when we needed it *t*-1, because he suddenly got sick and needed *-2 to be put *-3 in.###speakera11.###yeah,###speakerb12.###speakera13.###so the convenience,###speakerb14.###speakera15.###right.###speakerb16.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
136984:4	what vacation have you enjoyed *t*-1 the most?	###yeah,###yeah.###speakera37.###um, i think, uh, 0 the biggest limitation is a lot, just time and money, isn't it *?*.###speakerb38.###oh, yeah.###speakera39.###speakerb40.###yeah.###speakera41.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
87947:4	what did you think *t*-1 about dances with wolves when you saw it *t*-2?	###yeah,###so.###speakerb56.###mumblex she's smart at what she does *t*-1.###she knows how * to do that *t*-1.###speakera57.###she knows how * to twist this around *t*-1,###huh?###speakerb58.###yeah.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
102217:4	what's your favorite restaurant *t*-1?	###speakerb100.### m-, m-, m-, my sister, who *t*-1 also lives here in dallas, uh, tends *-2 to, uh, chat with waiters and waitresses and become their best friends during the course of dinner, which *t*-3 drives me absolutely batty.###speakera101.###oh, yeah.###well, how we###speakerb102.###but,###speakera103.### it may, it may help their tip, may not *?*, huh.###speakerb104.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
