TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	AResponse	AllResponse	TheResponse
160516:4	why can't trees break down *t*-1?	###paper doesn't seem threatening at all, you know.###speakera93.###well, it is *?*, it is *?*, though.###speakerb94.###it comes from trees.###how can it be bad *t*-1?###speakera95.###it is *?*, because they,###speakerb96.###they treat it with chemicals or something?	why	yes	What is a reason...?	What is every reason...?	What is the reason...?
51033:9	hum, what do you think 0 *t*-1 could be done *-2 about it?	###yeah,### i don't, i don't think 0 that's, that's quite right either.###speakera47.###i mean it's not really government for the people and by the people,###i'll tell you that.###speakerb48.###yeah.###speakera49.###so,###speakerb50.	what	yes	What is a thing...?	What is every thing...?	What is the thing...?
43281:4	what should i do *t*-1?	###but we just haven't been able *-1 to do that yet,###so one day we'll be able *-1 to do it,###and i'm excited about it.###and then i don't know anything about it,###i have *-1 to learn,###and then you'll have *-1 to give me a call on gardening.###speakerb68.###speakera69.###what do you do *t*-1 in your garden,###and i'll go nothing,	what	yes	What is a thing...?	What is every thing...?	What is the thing...?
61044:253	how can you tell where it's going *-5 to come down at *t*-6 *t*-7.	###speakerb114.###oh,, i was going *-1 to say, 0 the air pollution alone there just from a hundred pounds of cow manure was going *-2 to be bad.###speakera115.###yeah,###but i, i don't know###it really frightens me though as far as the, when you think about the, you know, * thinking of just air pollution itself### and then, and, channel thirteen they're really, um, emphasizing the problem with acid rain, you know,###speakerb116.###uh-huh.###speakera117.if we, if we keep *-1 putting that stuff into the air and, and, you know, if we keep *-2 creating the problem and not doing anything about it that it's really going *-3 to be a problem for, um, just the, the earth, you know, what the earth is receiving *t*-4 back, you know, because 	how	yes	What is a way...?	What is every way...?	What is the way...?
81430:4	why don't you tell me about yours *t*-1.	###i rented that one night by myself.###i was home *-1 alone.###did you see home alone?.###speakerb190.###yes,###i did,### that, that just reminded me of that.###did you like it?###speakerb1.###well carol since today's subject is our homes,	why	no	What is a reason...?	What is every reason...?	What is the reason...?
83839:35	when does it, wh-, when does it bloom *t*-1?	###okay.###now i have got some daffodils.###and, we-, everybody down here calls these flags. uh, the irises i guess, uh 0 *t*-1,###speakerb72.###they call them flags?###speakera73.###that is what they call them *t*-1 down here.###they get, uh, just one bloom on the plant.### i do not, i am not sure what they are called *-1 *t*-2.###speakerb74.	when	no	What is a time...?	What is every time...?	What is the time...?
73308:4	what do i know *t*-1.	### is it, is it the one that *t*-2 needs, needs more supervision that *t*-1 has a bad influence on the older or more mature one?###speakerb126.###of course.###speakera127.###yeah.###how unfortunate.###speakerb128.### you don't think, you don't think that good prevails.###speakera129.###well, i, i, i'm living in a dream world,	what	no	What is a thing...?	What is every thing...?	What is the thing...?
115384:4	what was the other thing *t*-1?	###speakerb38.###no,###that's one of those sports 0 i don't go for *t*-1.###speakera39.###well, that's kind of interesting hobby.###what else, did you,###you said 0 you did cycling?###speakerb40.###yeah.###speakera41.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
169409:4	what am i trying *-1 to say *t*-2. uh,	###and i've, i, i never watch t v news nor listen to the news on the radio unless i'm just happening *-1 to be listening to music and they slip it on in the car radio before i can turn it off.###but,###speakerb8.###any particular reason?.###speakera9.###well, no.### i, i've, i've explored that with lots of people.###uh, they've tried *-1 to lock me up and, uh, things like that.###but, uh, uh, i'm basically not interested###and i also find 0 the, uh, everything is so slick and superficial and misguided and mis-, and off the, uh, uh,	what	no	What is a thing...?	What is every thing...?	What is the thing...?
65639:28	anyway, what are your, what are your first comments on that subject *t*-1?	###speakera201.###yeah.###and, uh, i was thinking about,### there was a, i saw a book *ich*-1 *ich*-2 kicking around on the history of the a b a, which,###speakerb202.###oh, that would be good.###speakera203.###yeah.### i get in to, even when i don't like the sport so much *t*-1, i get interested in the history of sports franchises,###speakera1.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
141308:59	what do you all do *t*-1.	###it was on my grandmother's birthday,###but she is, she is gone now.###speakerb19.###yeah,###see that is kind of what *t*-1 happened with ours.###that is why we have not had one in a long time *t*-1.###speakera20.###yeah.###uh.###speakerb21.so, so, *-2 to make one successful, i mean, i mean 	what	no	What is a thing...?	What is every thing...?	What is the thing...?
158655:7	well what do you feel *t*-1 about the, um, present situation in the mideast?	###speakera77.###speakerb78.###uh, i can't remember what they call it *t*-1 actually###but y-, you just stand them in front of a clock###and, you know, it has a second-hand that *t*-1 goes around.###speakera79.###uh-huh.###speakerb80.###and they have *-1 to stand there,###speakera1.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
155438:9	so, what do you and your husband do *t*-1?	###but, we don't know how long it will be a dream *t*-1.###speakera17.###speakerb18.### we, we're kind of real, we're real happy that we don't have any debt,###but we're at the same time we're real scared about * incurring it in this, uh, economy right now###so we're stepping real careful and trying *-1 to see what *t*-2's the best way 0 * to save what, the little bit that we do get *t*-3, you know, on top of expenses every month *t*-4.###speakera19.###yeah.###speakerb20.###speakera21.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
73231:4	what *t*-1's wrong with you?	###speakerb94.###of course.###speakera95.###speakerb96.###but, we are helping, you know.###speakera97.###right.###right.###speakerb98.###we are being cooperative,	what	no	What is a thing...?	What is every thing...?	What is the thing...?
124241:4	what do you think 0 *t*-1 going *-2 to happen to the rangers?	###speakerb24.###yeah.###oh, uh, and i was routing for the twins myself because, uh, they, a couple of ranger players that i had watched *t*-1 when we first moved here *t*-2, uh, went to minnesota,###and we used *-1 to tease about,###my son and i used *-1 to have a bet *ich*-3 going about some of the players that *t*-2 had moved from here to minnesota,###but it was int-, it certainly was an exciting series, anyway.###speakera25.###it sure was *?*,###it sure was *?*.###speakerb26.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
78887:7	well what did you think *t*-1 of reagan as a president?	###right.###speakerb168.###so they just try and make it a personal thing,###i mean, if you remember any of the t v commercials from the last presidential campaign, they all had, uh, pictures of bush with his grandchildren, walking around with his grandchildren###and even from reagan, it was all just like, looks like a mcdonald's commercial, you know.###speakera169.###uh-huh.###speakerb170.###that's about what it looked like *t*-1.###speakera171.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
100712:69	and, uh, if we have children who *t*-1 are not getting their education, for one reason or another, then what are we going *-2 to do *t*-3 with them?	###and occasionally that happens.###speakera75.###right.###speakerb76.###but, it is frightening### b-, because, uh, education is the key to our future###speakera77.###yes,###it certainly is *?*.###speakerb78.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
89007:4	what are some others that you have seen *t*-1 lately *t*-2?	###uh-huh.###speakera31.###and there was, it was like, uh, uh, steel magnolias.###the characters played very well off one another.###speakerb32.###uh-huh.###speakera33.###and there was humor involved *,###but the story was a very dramatic story,###and i enjoyed it very much.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
44743:160	well, the, see the problem is 0 if, if the, if someone would have came up to me and said it's going *-1 to cost you five hundred dollars *-2 to keep your dog alive. what do you want *-1 to do *t*-2? i probably would have had second thoughts.	###and she was okay###and she's been okay every since.###it's been about two years now.###speakerb86.###huh.###well, that's great,###it really is *?*.### i, i'm glad that she was able *-1 to pull out of it that way and so cheaply the second time.###speakera87.###yeah.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
176495:4	what did you do *t*-1 when your kids were growing up *t*-2?	###uh-huh.###speakerb43.###i'm sure 0 there must be some good ones around here somewhere.###speakera44.###huh.###speakerb45.###but it's really, it's really, really very difficult###and,###speakera46.###yeah.	what	no	What is a thing...?	What is every thing...?	What is the thing...?
110091:6	and how do you spell that breed *t*-1?	###they had five litters of puppies,### and and a lot of them stayed in the neighborhood###speakerb36.###oh.###speakera37.###speakerb38.###uh-huh.###speakera39.###because, um,###speakerb40.	how	no	What is a way...?	What is every way...?	What is the way...?
159602:4	how's he handling that *t*-1?	###and they provide one meal a day.###speakera64.###uh-huh.###speakerb65.###and, you know, the rest of the housekeeping and other meals a day are up to him.###speakera66.###uh-huh.###speakerb67.###but they do have, you know, group activities going on.###speakera68.	how	no	What is a way...?	What is every way...?	What is the way...?
150184:9	so. how's your products been *t*-1?	###uh-huh.###speakerb94.###and you can start it up, basically pretty easily.###speakera95.###uh-huh.###so how do you know this much about, um, * stealing cars *t*-1?###speakerb96.###well, after i found mine i had *-1 to, i had this,###speakera97.###speakera1.	how	no	What is a way...?	What is every way...?	What is the way...?
164882:4	how do you think that, uh, the viewpoints differ *t*-1?	###uh, i agree with you, too, on the, uh, uh, the cable channel, c n n and headline news.###uh, i'm not too satisfied with our local newspaper uh, which *t*-1 is why i rely on shortwave and, and then the cable, cable, c n n *t*-2.###speakerb9.###uh-huh.###speakera10.###speakerb11.###speakera12.###speakerb13.###i'm, uh, interested in the, in the shortwave aspect of it.###uh, how do you find that the, the coverage from other places in the world, uh, compares with the american coverage of,	how	no	What is a way...?	What is every way...?	What is the way...?
141435:14	well, uh, how do you all communicate *t*-2? like *-1 to plan it and every thing.	###then the majority of them are still in the missouri area.###speakerb69.###yeah.###speakera70.###okay.###you know our family right now, uh, the most of it, there is only a few stragglers, uh, with any distance.###there is one cousin out in colorado, uh, uh, some cousins over in phoenix, uh,###i got a sister over in, in, uh, washington state.###uh, the rest of them are within, you know, a couple hours drive.###speakerb71.	how	no	What is a way...?	What is every way...?	What is the way...?
123253:16	who, who did they play *t*-1?	### the, their, their backfield is really impressive.###haywood jeffreys and drew hill and allen mumblex,###speakerb64.###right.###speakera65.###they really impress me.###speakerb66.###well, they squeaked out a game on sunday.###speakera67.###that's right.	who	no	Who is a person...?	Who is every person...?	Who is the person...?
72840:6	and who *t*-3 knows how many people, *t*-2 are looking at those, uh, bills that *t*-1 come in, and those statements,	###oh, you can *?*?###speakera83.###you can use it like any other card,###speakerb84.###uh-huh.###speakera85.### and, uh, but, it, you know, you kind of, you know that somebody every month,###speakerb86.###oh, i see, huh.###speakera87.	who	no	Who is a person...?	Who is every person...?	Who is the person...?
125234:4	where's it all going *t*-1?	###you get what you pay for *t*-1,###if we're going *-1 to have national health insurance, which *t*-2 seems likely, it's necessarily going *-3 to involve more taxes.###uh, i suspect, i take the view that * cutting income tax rates has been good for the, the economy, that most other countries have a higher share of the tax burden in various kinds of sales taxes, uh, energy taxes, particularly, and that to the extent 0 we need *-1 to raise more taxes *t*-3, that's the direction 0 we should look *t*-2.###speakerb4.###right.###well, i guess 0 i kind of have mixed feelings.###um, you know, you always sit there###and out of each pay check so much comes out of it,###and you wonder, you know, where's it all going *t*-1###speakera5.	where	no	What is a place...?	What is every place...?	What is the place...?
74464:6	so where do you live at *t*-1,	###speakera11.###it's big enough for us, though.###speakerb12.###uh-huh.###speakera13.###we kind of need maybe one more room.###we've got two children.###speakerb14.###uh-huh,###okay.	where	no	What is a place...?	What is every place...?	What is the place...?
168089:7	now where does the source light go *t*-1?	###what they do *t*-1, they do several different types of things.###sometimes they put a source light###and they look at the source light###and then as the car goes by, you can see the exhaust pipe and the source light behind it###and you can look at the emissions actually.###speakerb31.###huh.###speakera32.###and...###speakerb33.	where	no	What is a place...?	What is every place...?	What is the place...?
control_a_tissue	Do you want a tissue?	speakera. Your nose is running. speakerb. Oh yeah I didn't notice. speakera. 	none	no	A tissue…?	Every tissue…?	The tissue…?
control_a_napkin	Can I hand you a napkin?	speakera. Oh no! I just spilled my spaghetti down my shirt. speakerb. Oh no.	none	no	A napkin…?	Every napkin…?	The napkin...?
control_the_book	Did you return the book you borrowed?	speakera. Hey. speakerb. Hey what's up? speakera. I noticed a late fee from the library. 	none	no	A book...?	Every book…?	The book...?
