workerid,proliferate.condition,order,response,slide_number_in_experiment,tgrep_id,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
38,condition1,,"['Mary', 'Mary']",1,bot_check,[],41,Yes,"If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,Other,English,Firefox,Linux,768,1366,6.993383333333333,
38,condition1,a-the-all-some,"['all', False]",3,example1,[],41,Yes,"If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,Other,English,Firefox,Linux,768,1366,6.993383333333333,
38,condition1,a-the-all-some,"['a', False]",4,example2,[],41,Yes,"If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,Other,English,Firefox,Linux,768,1366,6.993383333333333,
38,condition1,a-the-all-some,"['all', False]",5,example1,[],41,Yes,"If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,Other,English,Firefox,Linux,768,1366,6.993383333333333,
38,condition1,a-the-all-some,"['the', False]",6,example4,[],41,Yes,"If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,Other,English,Firefox,Linux,768,1366,6.993383333333333,
38,condition1,a-the-all-some,"['the', False]",8,51293:9,[],41,Yes,"If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,Other,English,Firefox,Linux,768,1366,6.993383333333333,
38,condition1,a-the-all-some,"['the', False]",9,40349:14,[],41,Yes,"If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,Other,English,Firefox,Linux,768,1366,6.993383333333333,
38,condition1,a-the-all-some,"['a', True]",10,60430:4,[],41,Yes,"If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,Other,English,Firefox,Linux,768,1366,6.993383333333333,
38,condition1,a-the-all-some,"['the', True]",11,37508:7,[],41,Yes,"If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,Other,English,Firefox,Linux,768,1366,6.993383333333333,
38,condition1,a-the-all-some,"['the', False]",12,102105:4,[],41,Yes,"If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,Other,English,Firefox,Linux,768,1366,6.993383333333333,
38,condition1,a-the-all-some,"['the', False]",13,118088:9,[],41,Yes,"If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,Other,English,Firefox,Linux,768,1366,6.993383333333333,
38,condition1,a-the-all-some,"['a', True]",14,103191:13,[],41,Yes,"If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,Other,English,Firefox,Linux,768,1366,6.993383333333333,
38,condition1,a-the-all-some,"['the', False]",15,68569:4,[],41,Yes,"If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,Other,English,Firefox,Linux,768,1366,6.993383333333333,
38,condition1,a-the-all-some,"['a', True]",16,130644:22,[],41,Yes,"If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,Other,English,Firefox,Linux,768,1366,6.993383333333333,
38,condition1,a-the-all-some,"['the', False]",17,61578:4,[],41,Yes,"If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,Other,English,Firefox,Linux,768,1366,6.993383333333333,
34,condition1,,"['Patricia', 'Patricia']",1,bot_check,[],22,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.59275,
34,condition1,a-the-some-all,"['all', False]",3,example1,[],22,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.59275,
34,condition1,a-the-some-all,"['a', False]",4,example2,[],22,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.59275,
34,condition1,a-the-some-all,"['all', False]",5,example1,[],22,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.59275,
34,condition1,a-the-some-all,"['the', False]",6,example4,[],22,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.59275,
34,condition1,a-the-some-all,"['a', False]",8,103191:13,[],22,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.59275,
34,condition1,a-the-some-all,"['a', False]",9,130644:22,[],22,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.59275,
34,condition1,a-the-some-all,"['a', False]",10,40349:14,[],22,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.59275,
34,condition1,a-the-some-all,"['the', False]",11,51293:9,[],22,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.59275,
34,condition1,a-the-some-all,"['a', False]",12,68569:4,[],22,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.59275,
34,condition1,a-the-some-all,"['the', False]",13,37508:7,[],22,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.59275,
34,condition1,a-the-some-all,"['a', False]",14,60430:4,[],22,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.59275,
34,condition1,a-the-some-all,"['the', False]",15,102105:4,[],22,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.59275,
34,condition1,a-the-some-all,"['the', False]",16,61578:4,[],22,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.59275,
34,condition1,a-the-some-all,"['the', False]",17,118088:9,[],22,Yes,,3,1,1,Female,English,Chrome,Mac,900,1440,2.59275,
33,condition1,,"['Patricia', 'Patricia']",1,bot_check,[],19,Yes,,2,0,1,Female,English,Chrome,Windows,864,1536,9.559616666666669,
33,condition1,all-the-some-a,"['a', False]",3,example1,[],19,Yes,,2,0,1,Female,English,Chrome,Windows,864,1536,9.559616666666669,
33,condition1,all-the-some-a,"['all', False]",3,example1,[],19,Yes,,2,0,1,Female,English,Chrome,Windows,864,1536,9.559616666666669,
33,condition1,all-the-some-a,"['some', False]",4,example2,[],19,Yes,,2,0,1,Female,English,Chrome,Windows,864,1536,9.559616666666669,
33,condition1,all-the-some-a,"['all', False]",5,example1,[],19,Yes,,2,0,1,Female,English,Chrome,Windows,864,1536,9.559616666666669,
33,condition1,all-the-some-a,"['the', False]",6,example4,[],19,Yes,,2,0,1,Female,English,Chrome,Windows,864,1536,9.559616666666669,
33,condition1,all-the-some-a,"['the', False]",8,68569:4,[],19,Yes,,2,0,1,Female,English,Chrome,Windows,864,1536,9.559616666666669,
33,condition1,all-the-some-a,"['all', True]",9,103191:13,[],19,Yes,,2,0,1,Female,English,Chrome,Windows,864,1536,9.559616666666669,
33,condition1,all-the-some-a,"['all', False]",10,60430:4,[],19,Yes,,2,0,1,Female,English,Chrome,Windows,864,1536,9.559616666666669,
33,condition1,all-the-some-a,"['a', False]",11,61578:4,[],19,Yes,,2,0,1,Female,English,Chrome,Windows,864,1536,9.559616666666669,
33,condition1,all-the-some-a,"['the', False]",12,102105:4,[],19,Yes,,2,0,1,Female,English,Chrome,Windows,864,1536,9.559616666666669,
33,condition1,all-the-some-a,"['the', False]",13,51293:9,[],19,Yes,,2,0,1,Female,English,Chrome,Windows,864,1536,9.559616666666669,
33,condition1,all-the-some-a,"['the', False]",14,118088:9,[],19,Yes,,2,0,1,Female,English,Chrome,Windows,864,1536,9.559616666666669,
33,condition1,all-the-some-a,"['a', False]",15,40349:14,[],19,Yes,,2,0,1,Female,English,Chrome,Windows,864,1536,9.559616666666669,
33,condition1,all-the-some-a,"['some', False]",16,130644:22,[],19,Yes,,2,0,1,Female,English,Chrome,Windows,864,1536,9.559616666666669,
33,condition1,all-the-some-a,"['the', False]",17,37508:7,[],19,Yes,,2,0,1,Female,English,Chrome,Windows,864,1536,9.559616666666669,
17,condition1,,"['Mary', 'Mary']",1,bot_check,[],19,Yes,,2,1,1,Female,english,Chrome,Windows,864,1536,5.319383333333334,
17,condition1,all-some-the-a,"['a', False]",3,example1,[],19,Yes,,2,1,1,Female,english,Chrome,Windows,864,1536,5.319383333333334,
17,condition1,all-some-the-a,"['a', False]",3,example1,[],19,Yes,,2,1,1,Female,english,Chrome,Windows,864,1536,5.319383333333334,
17,condition1,all-some-the-a,"['a', False]",3,example1,[],19,Yes,,2,1,1,Female,english,Chrome,Windows,864,1536,5.319383333333334,
17,condition1,all-some-the-a,"['a', False]",3,example1,[],19,Yes,,2,1,1,Female,english,Chrome,Windows,864,1536,5.319383333333334,
17,condition1,all-some-the-a,"['all', False]",3,example1,[],19,Yes,,2,1,1,Female,english,Chrome,Windows,864,1536,5.319383333333334,
17,condition1,all-some-the-a,"['some', False]",4,example2,[],19,Yes,,2,1,1,Female,english,Chrome,Windows,864,1536,5.319383333333334,
17,condition1,all-some-the-a,"['all', False]",5,example1,[],19,Yes,,2,1,1,Female,english,Chrome,Windows,864,1536,5.319383333333334,
17,condition1,all-some-the-a,"['a', False]",6,example4,[],19,Yes,,2,1,1,Female,english,Chrome,Windows,864,1536,5.319383333333334,
17,condition1,all-some-the-a,"['some', False]",8,68569:4,[],19,Yes,,2,1,1,Female,english,Chrome,Windows,864,1536,5.319383333333334,
17,condition1,all-some-the-a,"['the', False]",9,118088:9,[],19,Yes,,2,1,1,Female,english,Chrome,Windows,864,1536,5.319383333333334,
17,condition1,all-some-the-a,"['the', False]",10,61578:4,[],19,Yes,,2,1,1,Female,english,Chrome,Windows,864,1536,5.319383333333334,
17,condition1,all-some-the-a,"['the', False]",11,103191:13,[],19,Yes,,2,1,1,Female,english,Chrome,Windows,864,1536,5.319383333333334,
17,condition1,all-some-the-a,"['the', False]",12,51293:9,[],19,Yes,,2,1,1,Female,english,Chrome,Windows,864,1536,5.319383333333334,
17,condition1,all-some-the-a,"['some', False]",13,102105:4,[],19,Yes,,2,1,1,Female,english,Chrome,Windows,864,1536,5.319383333333334,
17,condition1,all-some-the-a,"['all', False]",14,130644:22,[],19,Yes,,2,1,1,Female,english,Chrome,Windows,864,1536,5.319383333333334,
17,condition1,all-some-the-a,"['the', False]",15,60430:4,[],19,Yes,,2,1,1,Female,english,Chrome,Windows,864,1536,5.319383333333334,
17,condition1,all-some-the-a,"['some', False]",16,37508:7,[],19,Yes,,2,1,1,Female,english,Chrome,Windows,864,1536,5.319383333333334,
17,condition1,all-some-the-a,"['some', False]",17,40349:14,[],19,Yes,,2,1,1,Female,english,Chrome,Windows,864,1536,5.319383333333334,
12,condition1,,"['Susan', 'Susan']",1,bot_check,[],55,Yes,I have none at this time.,3,1,0,Female,English ,Safari,iPhone/iPod,736,414,19.649,
12,condition1,the-some-all-a,"['all', False]",3,example1,[],55,Yes,I have none at this time.,3,1,0,Female,English ,Safari,iPhone/iPod,736,414,19.649,
