<<<<<<< HEAD
"","TGrepID","Question","mean_rating","sd","EntireSentence","PreceedingContext","FollowingContext","domain_size_question","domain_type_question","domain_granularity_question","domain_size_context","domain_type_context","domain_granularity_context"
"1","31540:4","what limits *t*-1 ought *-2 to be put *-3 on it, do you think 0 *t*-4?",0.219444444444444,0.281915135795951,"what limits *t*-1 ought *-2 to be put *-3 on it, do you think 0 *t*-4?","###speakerb76.###and, uh, you know, i don't know that, that his problem would ever have been detected *-1 by drug testing.###but * seeing what drugs did *t*-1 to him makes me see, makes me realize what it could do *t*-2 to people, you know, in the work force as well.###speakera77.###uh-huh.###speakerb78.###um, it's horrible.###speakera79.###well, then,###* let's, let's answer the second half of the question.","###speakerb80.###well, the limits, uh, uh, would, i think 0 *t*-5, have *-3 to do with what i'd alluded to *t*-1 before, that there needs *-6 to be a further, um, that, that one positive on a drug test, would not constitute, uh, dismissal or grounds for whatever the company or agency might, uh, have *t*-4 set up for those who *t*-2 genuinely have a problem.###speakera81.###uh-huh.###speakerb82.###speakera83.###uh-huh.###speakerb84.###in other words, there needs *-1 to be, um, more than,###speakera85.","","","","","",""
"2","164923:50","what they, what they write *t*-1 into it",0.186896551724138,0.297550757354053,"and a lot of time i don't hear exactly what they, what they write *t*-1 into it.","###speakera24.###oh, i like the straight reporting.###uh, and then i, i hope *-1 to be able *-2 to form my own opinion of it.### it's, it *exp*-1's nice * to hear someone's interpretation of it###speakerb25.###uh-huh.###speakera26.###uh, i always think 0 it's humorous when, when the president gives the state of the union and, uh, for thirty minutes and then for an hour and a half you hear different commentators explaining what you just heard *t*-1 *t*-2.###speakerb27.###speakera28.","###speakerb29.###uh-huh.###speakera30.###so i, overall, i think 0 i would rather *-1 hear just straight reporting.###speakerb31.###one of the things that i found *t*-1 interesting last year during the, uh, the gulf conflict was a sentiment against, uh, peter arnett, who *t*-2 had stayed in iraq and was presenting, uh, some of the things that *t*-3 were available.###uh, there was a, there was, uh, a piece where he was showing a bombed out building where there was obviously a crudely, uh, uh, hastily erected sign saying baby milk factory *t*-1 *t*-2,###and while he was being severely, uh, censored *-1 and could not make any judgment call on this, it *exp*-2 was fairly obvious that it was a piece of propaganda,###but people were really down on him for * reporting the fact that, th-, you know, this isn't a baby milk factory,###how could he say 0 it was, uh *?* *t*-1,","","","","","",""
"3","63740:135","why, why they couldn't do more recycling with those *t*-3",0.266451612903226,0.375175944387846,"i, i wonder about some of the prod-, products that they don't take *t*-1, like some of the plastics and things that they don't take *t*-2. uh, why, why they couldn't do more recycling with those *t*-3.","###but i did exceeding well.###i was surprised.###but i didn't realize that our garbage isn't being decomposed *-1.###that was a shocker to me.###speakera55.###yeah,###well there are a lot of things that *t*-1 aren't *?*,###i'm,###that's, uh, one of the things 0 i wonder about *t*-1,###uh, one of the questions was, do you think 0 more *ich*-2 should be done *-1, or something else.","###speakerb56.###well, i was in, uh, bizmart the other day,###and, what i don't understand *t*-1 is 0 there is recycled paper in there,###and it cost more than regular paper.###speakera57.###um.###speakerb58.###and it was only, i think, uh, forty cents more, you know, fifty cents more,###but, it *exp*-1 upset me * to realize that, hey, the recycling that they're going through the expense of recycling,###speakera59.","","","","","",""
"4","160687:72","what do you find *t*-2 boring",0.463529411764706,0.433833798482647,"i mean what do you, what, what do you find *t*-1 interesting versus what do you find *t*-2 boring?","###yeah,###actually, y-, you mention newsweek,### i, i, i do like, uh, u s news and world report.###i don't get *-1 to read it as much as i like,###but that's, i think 0 that's a good magazine.###speakera23.###yeah,###i think 0 they're about the same.### i, you know, they, they certainly have a very similar, uh, charter at least in my mind.###and, uh, uh, what, what kind of, uh, what kind of news *t*-1 normally interests you,","###speakerb24.###well right now trying *-1 to keep abreast of, uh, what *t*-2's going on in europe, you know, with all the, u s s r's satellites breaking off, trying *-3 to become independent and, you know, european community coming together.###speakera25.###speakerb26.###speakera27.###uh-huh.###speakerb28.###that's going *-1 to affect our, uh, economy quite a bit.###speakera29.###i think 0 it will *?*,","","","","","",""
"5","166006:4","what is your, uh, community, uh, currently doing *t*-1 with regard to recycling?",0.261111111111111,0.266963070565484,"what is your, uh, community, uh, currently doing *t*-1 with regard to recycling?","###and the other one is, are the saturns.###speakerb70.###uh-huh.###speakera71.###so those two things.###and then, you know, we kind of want a four door.###speakerb72.###okay.###speakera1.###okay.","###speakerb2.###uh, basically, they're just, uh, having various recycling, uh, bins, uh, located *-1 for, uh, trash pickup.###speakera3.###uh-huh.###well that's more than we have *?* up here in massachusetts.### some, some local communities are very active in that, uh, in that respect###and they do have bins set * up.###but i live in a, a metropolitan area###and, uh, they're not, uh, too inclined *-1 to do something as aggressive as that.###speakerb4.","","","","","",""
"6","100629:16","what *t*-1's going *-2 to happen just out front of their apartment complex",0.202857142857143,0.330340532972973,"they don't know what *t*-1's going *-2 to happen just out front of their apartment complex.","###it's what *t*-1's wrong with families###and if, if children come to school, yes, *-1 insecure and their mo-, biggest concern is survival both at home,###speakera39.###and society in general.###speakerb40.###speakera41.###right.###speakerb42.###they don't know what * to expect *t*-1 at home.###they don't feel secure there,","###speakera43.###right.###speakerb44.###for example that child that *t*-2 was shot *-1.###speakera45.###right.###speakerb46.###uh, how can they concentrate on schooling *t*-1?###i agree with you,###speakera47.","","","","","",""
"7","78624:40","so what do you think *t*-1 about, uh, what do you think *t*-2 about what you see *t*-3 on t v about them, like in the news or on the ads,",0.226666666666667,0.276064783530755,"so what do you think *t*-1 about, uh, what do you think *t*-2 about what you see *t*-3 on t v about them, like in the news or on the ads,","###yeah,###that's okay.###speakera65.###well, that's what i mean *t*-1,###like i didn't know what the difference between dukakis and bush was *t*-1.###speakerb66.###uh-huh.###speakera67.###you know, i didn't know anything about bush or dukakis.###speakerb68.","###do you kind of just,###speakera69.###okay,###i don't remember anything about dukakis,###speakerb70.###you don't?###speakera71.###but, well they're all saying that they're going *-1 to do, you know, whatever *t*-2 is best for their campaign anyway.###speakerb72.###uh-huh,","","","","","",""
"8","11532:7","well what have you seen *t*-1?",0.33,0.373391286228775,"well what have you seen *t*-1?","###speakerb24.###yeah,###in fact, it got some pretty serious deep parts in it###so.###speakera25.###yeah,###right.###speakerb26.###yeah.###speakera27.","###speakerb28.###i think 0 the last movie that we went out *-1 to see *t*-2 was dances with wolves.###speakera29.###oh, i saw it.###speakerb30.###good,###we've both seen one.###did you cry through it?###speakera31.###yes,","","","","","",""
"9","59481:4","how does the argument work if, uh, if the bad guys are going *-1 to have guns anyway *t*-2.",0.410555555555556,0.382983216069386,"how does the argument work if, uh, if the bad guys are going *-1 to have guns anyway *t*-2.","###speakerb48.###well, the han-, in the hands of the wrong person the car can be just as deadly *ich*-1 as the weapon, as a, as a pistol.###speakera49.###yeah.###speakerb50.###speakera51.###well, i have a bicycle###and that scares me too * to tell you the truth because i've been run *-1 off the road and all sorts of things.###well, i'm still, i'm still puzzled though,###what *t*-1 is the argument,","###what *t*-1's the point of * putting a restrictio-,###basically, the restrictions are just * to penalize the good guys because the bad guys are going *-1 to get the guns anyway###they're not going *-1 to take those courses.### is it, uh, is it a way of * raising the prices of illegal guns?###speakerb52.###well there's,###speakera53.###if it's not going *-1 to cut the supply of illegal guns it must going *-2 to at least raise the prices###does that, uh, mean advantage?###speakerb54.","","","","","",""
"10","143033:4","where have you been *t*-1?",0.19875,0.295451631687264,"where have you been *t*-1?","###speakera11.###uh-huh.###speakerb12.###but, um, i guess 0 my favorite is probably switzerland and ireland.###speakera13.###uh-huh.###yeah###well, i've been over there too.###speakerb14.###uh-huh.","###speakera15.###i even.###* let's see, um,###mostly germany and france.###speakerb16.###uh-huh.###speakera17.###i lived in france for a year and a half###so i was able,###speakerb18.","","","","","",""
