"","workerid","proliferate.condition","order","response","slide_number_in_experiment","tgrep_id","catch_trials","subject_information.age","subject_information.asses","subject_information.comments","subject_information.education","subject_information.enjoyment","subject_information.fairprice","subject_information.gender","subject_information.language","system.Browser","system.OS","system.screenH","system.screenW","time_in_minutes","error","Sentence","HaveNeedTo","Finite","ModalPresent","QuestionType","DegreeQ","SubjectAuxInv","WhAll","MatrixNegPresent","EmbeddedNegPresent","QuantifiedSubject","QuantifiedPredicate","Wh","MatrixNegation","MatrixDoSupport","MatrixPred1","MatrixPred2","MatVerbPart","Modal","EmbeddedNegation","Verb1","Verb2","Verb3","DeterminerSubject","DeterminerNonSubject","FullWhPhrase","DeterminerSubjPresent","DeterminerNonSubjPresent","WhNode","WhParse","Question","SentenceParse","WhPhaseType","IdentityQ"
"1",38,"condition1","","['Mary', 'Mary']",1,"bot_check","[]",41,"Yes","If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,"Other","English","Firefox","Linux",768,1366,6.99338333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",38,"condition1","a-the-all-some","['all', False]",3,"example1","[]",41,"Yes","If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,"Other","English","Firefox","Linux",768,1366,6.99338333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",38,"condition1","a-the-all-some","['a', False]",4,"example2","[]",41,"Yes","If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,"Other","English","Firefox","Linux",768,1366,6.99338333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",38,"condition1","a-the-all-some","['all', False]",5,"example1","[]",41,"Yes","If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,"Other","English","Firefox","Linux",768,1366,6.99338333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",38,"condition1","a-the-all-some","['the', False]",6,"example4","[]",41,"Yes","If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,"Other","English","Firefox","Linux",768,1366,6.99338333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",38,"condition1","a-the-all-some","['the', False]",8,"51293:9","[]",41,"Yes","If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,"Other","English","Firefox","Linux",768,1366,6.99338333333333,NA,"uh, who's the last one *t*-1.","no","yes","no","root","no","yes","","","","one","","who","","","","","","","","'s","last","","the last one","","","yes","",NA,"(WP who)","uh, who's the last one *t*-1.","(TOP (SBARQ (INTJ (UH Uh)) (, ,) (WHNP-1 (WP who)) (SQ (BES 's) (NP-SBJ (DT the) (JJ last) (NN one)) (NP-PRD (-NONE- *T*-1))) (. .) (-DFL- E_S)))","monomorphemic","no"
"7",38,"condition1","a-the-all-some","['the', False]",9,"40349:14","[]",41,"Yes","If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,"Other","English","Firefox","Linux",768,1366,6.99338333333333,NA,"you know, how can you help *-1 depending on the day care center *t*-2, you know,","no","","yes","root","no","yes","","","","","","how","","","","","","can","","help","depending","know","","the day care center","","no","no",NA,"(WRB how)","you know, how can you help *-1 depending on the day care center *t*-2, you know,","(TOP (SBARQ (PRN (S (NP-SBJ (PRP You)) (VP (VBP know))) (, ,)) (WHADVP-2 (WRB how)) (SQ (MD can) (NP-SBJ-1 (PRP you)) (VP (VB help) (S (NP-SBJ (-NONE- *-1)) (VP (VBG depending) (PP (IN on) (NP (DT the) (NN day) (NN care) (NN center))) (ADVP-MNR (-NONE- *T*-2)))) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know)))))) (, ,) (-DFL- E_S)))","monomorphemic","no"
"8",38,"condition1","a-the-all-some","['a', True]",10,"60430:4","[]",41,"Yes","If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,"Other","English","Firefox","Linux",768,1366,6.99338333333333,NA,"who *t*-1 knows.","no","yes","no","root","no","yes","","","","","","who","","","","","","","","knows","","","","","","no","",NA,"(WP who)","who *t*-1 knows.","(TOP (SBARQ (WHNP-1 (WP who)) (SQ (NP-SBJ (-NONE- *T*-1)) (VP (VBZ knows))) (. .) (-DFL- E_S)))","monomorphemic","no"
"9",38,"condition1","a-the-all-some","['the', True]",11,"37508:7","[]",41,"Yes","If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,"Other","English","Firefox","Linux",768,1366,6.99338333333333,NA,"well how do you think 0 the royals are going *-1 to do *t*-2?","no","yes","no","root","no","yes","","","","","","how","","","","","","","","do","think","are","the royals","the royals","","no","no",NA,"(WRB how)","well how do you think 0 the royals are going *-1 to do *t*-2?","(TOP (SBARQ (INTJ (UH well)) (WHADVP-2 (WRB how)) (SQ (VBP do) (NP-SBJ (PRP you)) (VP (VB think) (SBAR (-NONE- 0) (S (NP-SBJ-1 (DT the) (NNPS Royals)) (VP (VBP are) (VP (VBG going) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB do) (ADVP-MNR (-NONE- *T*-2))))))))))) (. ?) (-DFL- E_S)))","monomorphemic","no"
"10",38,"condition1","a-the-all-some","['the', False]",12,"102105:4","[]",41,"Yes","If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,"Other","English","Firefox","Linux",768,1366,6.99338333333333,NA,"how do you usually find a, a new restaurant *t*-1?","no","yes","no","root","no","yes","","","","","","how","","","","","","","","do","usually","find","","a","","no","yes",NA,"(WRB How)","how do you usually find a, a new restaurant *t*-1?","(TOP (SBARQ (WHADVP-1 (WRB How)) (SQ (VBP do) (NP-SBJ (PRP you)) (ADVP-TMP (RB usually)) (VP (VB find) (EDITED (RM (-DFL- \[)) (NP-UNF (DT a)) (, ,) (IP (-DFL- \+))) (NP (DT a) (RS (-DFL- \])) (JJ new) (NN restaurant)) (ADVP-MNR (-NONE- *T*-1)))) (. ?) (-DFL- E_S)))","monomorphemic","no"
