TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	Finite	Question	Modal	Matrix	punct	AResponse	AllResponse	TheResponse
105090:37	you need somebody 0 *t*-1 to kind of tell you what * to do *t*-2,	###i haven't cr-, managed *-1 to get a hold on that, uh, craft yet,###but, uh,###speakerb12.###that sounds like a real challenge.###speakera13.###yeah,### it, it would be kind of nice.###i hadn't quite figured out,###i don't have anybody 0 *t*-1 to teach me either.###that's another little thing.	what	no	no	what * to do *t*-2	yes	you need somebody 0 *t*-1 to kind of tell you  	,	...what is a thing...	...what is every thing...	...what is the thing...
5797:11	i go why you still there *t*-1 if you can earn a lot more money, once you've get your, your, your masters.	###speakerb98.###yeah.###speakera99.###that's why you want *-1 to join *t*-2.###speakerb100.###uh-huh.###speakera101.###but, uh, this guy,###i mean you can earn a lot more money###so you say,	why	yes		why you still there *t*-1 if you can earn a lot more money, once you've get your, your, your masters	yes	i go  	.	...what is a reason...	...what is every reason...	...what is the reason...
114225:44	well, i think 0 they get the new z-bart stuff and everything to where you can, um,	###well, rust and the, and the body too,###huh?###speakera57.###yeah,###i haven't had a big problem with that though.###speakerb58.###uh-huh.###speakera59.###so i've been pretty lucky there.###speakerb60.	where	yes		where you can, um	yes	well  i think 0 they get the new z-bart stuff and everything to  	,	...what is a place...	...what is every place...	...what is the place...
105042:18	i remember *-1 learning how * to ski *t*-2, oh,	###and if you didn't obey them, uh you know, there were a lot of accidents, i guess.###speakera3.###right.###speakerb4.###speakera5.###that's true.###speakerb6.###but, uh, i found 0 the motor boating was real fun.###speakera7.###yeah,	how	no	no	how * to ski *t*-2	yes	i remember *-1 learning   oh 	,	...what is a way...	...what is every way...	...what is the way...
34142:114	even after you wait your nine days, if you don't know how * to handle it *t*-1, it's just like * putting someone *ich*-4 in an automobile that *t*-2 doesn't know how * to drive *t*-3.	###i think that, that the gun clubs serve a useful purpose.###in fact, i'd like *-1 to see 0 somehow they tie the legislation into not only when you buy a weapon *t*-2 you have * to, uh, show that you've gone to school or gone to some class * to know how * to handle that weapon *t*-3.###speakera67.###that's a good,###i've never thought of that.###speakerb68.###speakera69.###that's a good point.###speakerb70.###and, you know, it, it,	how	no	no	how * to drive *t*-3	yes	even after you wait your nine days, if you don't know how * to handle it *t*-1, it's just like * putting someone *ich*-4 in an automobile that *t*-2 doesn't know  	.	...what is a way...	...what is every way...	...what is the way...
153391:61	but i don't really know, i mean, unless they do, uh, just outlaw them, how you can, uh, prevent that *t*-2.	###how do you feel *t*-1 about gun control?###speakerb2.###well, uh, i mean i don't think that guns should be outlawed *-1###speakera3.###um.###speakerb4.###but it's going *-1 to,###a lot of the stuff that,###i mean all 0 you do *t*-1 is * to get guns###and then like with the stuff of that massacre in killeen, texas not too long ago,	how	yes		how you can, uh, prevent that *t*-2	yes	but i don't really know, i mean, unless they do, uh, just outlaw them,  	.	...what is a way...	...what is every way...	...what is the way...
36073:14	we taught them how * to do it *t*-1,	###yeah.###speakera103.###i mean, what are we, what are we becoming *t*-1?###we're becoming a service country.###speakerb104.###as opposed to what we were *t*-1 twenty years ago.###speakera105.###yeah,###we were an industrial giant,###and now we're no-, we're not going *-1 to do it because everybody is beating us at the game.	how	no	no	how * to do it *t*-1	yes	we taught them  	,	...what is a way...	...what is every way...	...what is the way...
129368:38	i guess 0 cases like that, i don't see why they wouldn't bring in the new evidence from the other case *t*-1.	###speakera61.###oh.###speakerb62.### it was, it was really pretty interesting.###speakera63.###wow.###what,###speakerb64.###educational.###speakera65.	why	yes		why they wouldn't bring in the new evidence from the other case *t*-1	yes	i guess 0 cases like that, i don't see  	.	...what is a reason...	...what is every reason...	...what is the reason...
172496:73	uh, i just finished *-1 fuming at the fact that we pay an eight and a half percent sales tax and no income tax when the income tax could have been deducted *-2 from the federal form *t*-3	###speakera16.###uh, i love the irony of, uh, * talking about this subject on april the, fifteenth.###speakerb17.###speakera18.###but, uh, i'm afraid 0 i'm, i'm probably in the minority.### i, i actually don't think that we, uh, pay too much in this country. uh uh, particularly, uh, in this part of the country w-,###speakerb19.###i agree with you.###speakera20.###uh, i guess 0 i do have a, a bone 0 * to pick *t*-1 with, uh, uh, the way 0 taxes are distributed *-3 *t*-2.	when	yes		when the income tax could have been deducted *-2 from the federal form *t*-3	yes	uh, i just finished *-1 fuming at the fact that we pay an eight and a half percent sales ta  and no income ta 	x	...what is a time...	...what is every time...	...what is the time...
34168:16	i can't remember what the na-, the term *ich*-1 was *t*-2 going around.	###he was fortunate.### he could, he could of hit something else.###speakera75.###well, he went *-1 tumbling down the steps along with, uh, *-1 shooting his foot almost off.###he broke his leg and collar bone and a couple of other things i'm sure, *-1 being, mister cowboy.###speakerb76.###wow.###speakera77.###speakerb78.###speakera79.	what	no	yes	what the na-, the term *ich*-1 was *t*-2 going around	no	i can't remember  	.	...what is a thing...	...what is every thing...	...what is the thing...
