TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	Finite	Question	Modal	Matrix	punct	AResponse	AllResponse	TheResponse
59469:61	i mean, i certainly feel that if, if, we may disagree on when someone should own a fire arm *t*-1	###uh-huh.###uh-huh.###well, we can could be,###speakerb46.###i said 0 the restrictions 0 i would like *-1 to see *t*-2 on, for anybody, whether it being for handgun, a rifle, a shotgun,###i would like *-1 to see them go through either,###i'd like *-1 to see a law enforcement agency, not n r a,###but whether it be the, your state police or your county police for you to be able purchase a handgun. you got *-1 to go through their course and get certified *-2 that you know how * to properly handle the weapon *t*-1, how * to safely handle the weapon *t*-3, how * to properly maintain it *t*-4, the three basics.###speakera47.###well, that makes a lot of since to me.	when	yes		when someone should own a fire arm *t*-1	yes	i mea , i certai ly feel that if, if, we may disagree o 	n	...what is a time...	...what is every time...	...what is the time...
120021:35	you just get a book that *t*-1 tells you how * to do it *t*-2 or what?	###speakerb24.###oh, my gosh.###speakera25.###but it was fun.###i really enjoyed it.###speakerb26.###well, how'd you learn *-1 to do that to fix them up *t*-2?###speakera27.###oh, you just,###speakerb28.	how	no	no	how * to do it *t*-2	yes	you just get a book that *t*-1 tells you  or what 	?	...what is a way...	...what is every way...	...what is the way...
70801:50	i, i don't know what amount of, what amount of, our hardware *t*-1 would stop some fanatic, i guess, from *-2 doing anything, uh, that *t*-3 would be irrational.	###well, * let's see,###two thousand out of eleven thousand, that's about a little over twenty per cent.###uh, i, i should imagine that, that would be * to keep it at a level, those levels, i guess, that, that *t*-1 were originally appropriated *-2 w-, was when the soviet threat, i guess, was perceived *-4 as *-4 being a greater one *t*-3.###i don't think 0 there's very much of a threat there today.###i do worry about what nuclear weapons *t*-1 are left *-3 in the territories, uh, in their territory over there, and who *t*-2's controlling them,###but,###speakerb16.### tha-, that's true,###that's true.###speakera17.	what	yes		what amount of, what amount of, our hardware *t*-1 would stop some fanatic, i guess, from *-2 doing anything, uh, that *t*-3 would be irrational	yes	i, i don't know  	.	...what is a thing...	...what is every thing...	...what is the thing...
31358:22	because i can't really see why anyone, um, who *t*-1 has nothing 0 * to hide *t*-2 would object *t*-3.	###okay.###so, uh, what do you think *t*-1 about it?###speakerb2.###well, um, i guess 0 i, i'm more concerned about public safety than i am *?* about the, um, the concern for the private, uh, the idea of, * preserving privacy for, the individual, um,###speakera3.###privacy.###speakerb4.###speakera5.###right.###speakerb6.	why	yes		why anyone, um, who *t*-1 has nothing 0 * to hide *t*-2 would object *t*-3	yes	because i can't really see  	.	...what is a reason...	...what is every reason...	...what is the reason...
126717:42	so we, we often sit around and say, what movies should we rent *t*-1?	###that would be pretty good.###no,###i haven't seen that one.###speakera55.###that's a real warm movie.### it, it really just turned out nicely.###so i would recommend that if you have a chance.###speakerb56.###i'm in for it.###we rent a lot of movies	what	yes		what movies should we rent *t*-1	yes	so we, we often sit around and say,  	?	...what is a thing...	...what is every thing...	...what is the thing...
84217:40	so i do not know what, you know, what *t*-1 can be done *-2.	###but they are still bars.###speakerb31.###that makes it bad for * getting out during a fire.###speakera32.###yeah.###it really does.###and if you are a little bit claustrophobic###but, uh. i do not know,###i mean the jails are crowded.### i, i, i am not a criminal justice specialist,	what	yes		what, you know, what *t*-1 can be done *-2	yes	so i do not know  	.	...what is a thing...	...what is every thing...	...what is the thing...
122783:106	i've, i've often pictured, uh, in my mind, you know, what it *exp*-2 would be like *t*-1 * to just, what would you find *t*-3 if you just kept on * going, kept on *-4 going?	###yeah,### there's, there's a lot of, a lot of little things that *t*-1 have come up.###i know 0 maybe some of the big things that, uh, uh,###concentrated foods for one maybe### i don-, uh, i don't know###speakerb38.###that's right.###that's right.###speakera39.###it's also just	what	yes		what it *exp*-2 would be like *t*-1 * to just, what would you find *t*-3 if you just kept on * going, kept on *-4 going?	yes	i've  i've often pictured  uh  in my mind  you know 	,	...what is a thing...	...what is every thing...	...what is the thing...
87727:36	and some, people don't even own a car and know how * to drive a car *t*-1.	###yeah.###speakerb50.###yeah.###speakera51.###yeah,###* just take like in chicago where the people depend on the public transportation system * to get them everywhere *t*-1.###speakerb52.###yeah.###speakera53.###new york	how	no	no	how * to drive a car *t*-1	yes	and some, people don't even own a car and know  	.	...what is a way...	...what is every way...	...what is the way...
164873:50	uh, i'm not too satisfied with our local newspaper uh, which *t*-1 is why i rely on shortwave and, and then the cable, cable, c n n *t*-2.	###but the f m signal doesn't reach this far.###speakerb5.###uh-huh.###speakera6.###uh, i'll listen to shortwave quite a bit.###it gives you a whole different perspective on the news, uh, when you hear it from, say, a european point of view, or from the country of origin *t*-1.###speakerb7.###uh-huh.###speakera8.###uh, i agree with you, too, on the, uh, uh, the cable channel, c n n and headline news.	why	no	yes	why i rely on shortwave and, and then the cable, cable, c n n *t*-2	no	uh, i'm not too satisfied with our local newspaper uh, which *t*-1 is  	.	...what is a reason...	...what is every reason...	...what is the reason...
74554:11	i know what you're saying *t*-1 there,	### like, like you said, our rooms are too s-, the bedrooms are too small,###the living room and kitchen are huge,###speakerb42.###right.###speakera43.###but the bedrooms are too small.###where you've got *-1 to leave the furniture just one certain way *t*-2, you can't rearrange it at all.###speakerb44.###right,###there's they, uh,	what	no	yes	what you're saying *t*-1 there	no	i know  	,	...what is a thing...	...what is every thing...	...what is the thing...
