TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	Finite	Question	Modal	Matrix	punct	AResponse	AllResponse	TheResponse
103134:21	oh. i don't know what * to,	###but, uh, solar, of course, would be the clean, the cleanest.###speakera39.###well, i know 0 it's mumblex, um,###speakerb40.###speakera41.###we did have a solar water heater when we lived in houston *t*-1###and, uh, oddly enough i thought 0 our part of the country was ideal.###speakerb42.###i can't hear you at all for all this static.###speakera43.	what	no	no	what * to	yes	oh. i don't know  	,	...what is a thing...	...what is every thing...	...what is the thing...
144239:48	and, uh, i think 0 that will be real interesting * to see what they can do *t*-1.	###speakera27.###and they traded either richmond or hardaway to sacramento for billy owens###and, uh,###speakerb28.###good move.###speakera29.###yeah,###oh, yeah,###he's really worked out well.### they've got th-, the warriors have got a team, uh,	what	yes		what they can do *t*-1	yes	and, uh, i think 0 that will be real interesting * to see  	.	...what is a thing...	...what is every thing...	...what is the thing...
143663:16	i don't know what form it will ultimately take *t*-1.	###uh-huh,###yeah.###speakera31.###and, uh, both teachers and parents, uh, complain about the, uh, uh, the cost and ineffectiveness that *t*-1 results.###so my feeling is that, uh, the, the problem is, is, uh, significant. there are plenty of good people, uh, available * to, uh, offer people educational experience, but that we just have *-1 to re-, reallocate and reorganize the resources * to do it###and, uh, i think 0 certain techniques and technologies will influence all of that as well as research, uh, uh, of the sort that people like me do *t*-3 * looking at theories of behavior and how they can be used *-1 *-1 to improve performance, particularly, uh, accelerate the, the pace of learning *t*-2.###speakerb32.###uh-huh.###speakera33.###and, my feeling is that, uh, those kinds of things will solve the problem eventually.	what	yes		what form it will ultimately take *t*-1	yes	i don't know  	.	...what is a thing...	...what is every thing...	...what is the thing...
71768:54	i mean, they, they, they really know how *-2 to isolate each of the different muscle groups, with those things *t*-1	###speakera127.###speakerb128.###i'd rather just be the student,.###and, uh, occasionally i do the weights *ich*-1 at the health club but low weights just...###speakera129.###yeah.###speakerb130.###speakera131.###yeah,### the, uh, the, some of the nautilus equipment that i started *-1 seeing *t*-2 at the one that we used *-3 to go to *t*-4 was really interesting,	how	no	no	how *-2 to isolate each of the different muscle groups, with those things *t*-1	yes	i mean, they, they, they really kno 	w	...what is a way...	...what is every way...	...what is the way...
2224:28	so you know, i don't know what he would do *t*-1.	###yeah,### that, that's the other financial thing 0 i guess that we've done *t*-1 is with our life insurance is, since i'm at home now is, is * figuring out, uh, what we would need *t*-2 if something happened to my husband, or what he would need *t*-3 if something happened to me,###that's a, a big thing 0 * to think about *t*-1.###speakerb54.###right,###yeah, you know,###if, i would sell the, you know,###if, he, something would happen to him, i wouldn't stay in texas,###i would, uh, sell the house and move back home, you know, to my home town,### and, and, uh, i wouldn't stay here in texas,	what	yes		what he would do *t*-1	yes	so you know, i don't know  	.	...what is a thing...	...what is every thing...	...what is the thing...
99188:15	does your daughter know what she'd like *-1 to do *t*-2?	### what, what does,###he hopes *-1 to be a writer.###speakera66.###yes,###he thinks 0 that's what he'd like *-1 to do *t*-2,###but he's really strong in math and science, too,###and we keep *-1 encouraging him to keep an open mind.###speakerb67.###huh.###speakera68.	what	yes		what she'd like *-1 to do *t*-2	yes	does your daughter know  	?	...what is a thing...	...what is every thing...	...what is the thing...
95706:22	well, then you never know how they will,	###speakera73.###i mean, she has everything planned *-1 so closely, that if, something goes wrong, it just throws her for a loop.###speakerb74.###uh-huh.###speakera75.###speakerb76.###uh-huh.###speakera77.###speakerb78.###yeah.	how	yes		how they will	yes	well  then you never know  	,	...what is a way...	...what is every way...	...what is the way...
103964:16	i didn't know what *-2 to expect *t*-1.	###speakerb28.###yeah.###speakera29.###so, uh, you know, we, when we go *-3 dump, actually when we go *-1 dump our things *t*-2, oh, we collect newspapers, too, and then take them,###* seems like there's a pretty well, there's a p-, pretty continual flow of people coming and dumping glass and dumping plastics###speakerb30.###uh-huh.###speakera31.###so that's kind of encouraging.### i didn't know, you know, i didn't know if we started *-1 to do that.	what	no	no	what *-2 to expect *t*-1	yes	i didn't know  	.	...what is a thing...	...what is every thing...	...what is the thing...
159863:68	but, uh, i could see why you went, uh, you know, i could see why you were kind of sheltered *-1 i guess from, from music *t*-2.	###oh, really.###speakerb92.###she always had those, these old doris day records and stuff like that, though.###speakera93.###oh, well.###speakerb94.###so, you know, i grew up *-1 listening to that stuff.###speakera95.###yeah.###speakerb96.	why	no	yes	why you were kind of sheltered *-1 i guess from, from music *t*-2	no	but, uh, i could see why you went, uh, you know, i could see  	.	...what is a reason...	...what is every reason...	...what is the reason...
151180:21	and i couldn't figure out why i hadn't been called *-1 yet *t*-2	###so, have you ever served on a jury?###speakera5.###i served,###i was in the air force, and served on a court martial, uh, board *ich*-2 a couple of times, which *t*-1 is very similar to a jury.###a lot of the same rules apply.###have you ever served on one?###speakerb6.###yeah,###i finally served on one last year.###i've, um, been voting for years,	why	no	yes	why i hadn't been called *-1 yet *t*-2	no	and i couldn'  figure ou 	t	...what is a reason...	...what is every reason...	...what is the reason...
