TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	Finite	Question	Modal	Matrix	punct	AResponse	AllResponse	TheResponse
63860:11	you know what i'd like *-1 to see *t*-2 a little more.	###and then i forget *-1 to bring them in the store.###speakera95.###yeah.###speakerb96.###i'm forever going back out to my car *-1 to pick up my bags *-2 to bring them and take my garbage back out.###i wish 0 they'd really push this recycling bit, because i never realized, i really didn't realize how much stuff i actually throw *t*-1 away.###speakera97.###well, i think 0 the, the more 0 people are aware of it *t*-1, the, the more they'll do *t*-2.###i think 0 that's just the biggest problem is keeping it in, in front of the public so they understand how serious the problem is *t*-1, and how important it *exp*-3 is *t*-2 * to do that.###speakerb98.	what	yes		what i'd like *-1 to see *t*-2 a little more	yes	you know  	.	...what is a thing...	...what is every thing...	...what is the thing...
87628:64	and if it weren't for the taxes 0 we're putting *t*-1 in there, uh, * look what the schools could cost you *t*-2.	###i live in richardson###speakerb12.###yeah.###speakera13.###and it's up over two thousand dollars a year for taxes on my house.###speakerb14.###yeah,###yeah.###speakera15.###but now we're getting public services, the schools, the hospitals	what	yes		what the schools could cost you *t*-2	yes	and if it weren't for the taxes 0 we're putting *t*-1 in there, uh, * look  	.	...what is a thing...	...what is every thing...	...what is the thing...
59082:52	and, if i'd of probably had three or four children, i don't see how *t*-2 we could have made it, you know, without me working *t*-1.	###speakera47.###and this book is a little bitty skinny book.###speakerb48.###yeah.###speakera49.###i said my goodness, what is it, lined *-1 in gold, you know, uh.###speakerb50.###yeah.###speakera51.###but it is, it's getting worse,	how	yes		how *t*-2 we could have made it, you know, without me working *t*-1	yes	and, if i'd of probably had three or four children, i don't see  	.	...what is a way...	...what is every way...	...what is the way...
6397:23	so, i really don't know how * to compare it to other big companies *t*-1, you know.	###speakera67.###speakerb68.###that's right.###well, you know, t i, you know, t i offers some good stuff###and then i think 0 there's, i mean i think 0 there's some negatives,###but there's going *-1 to be some negatives anywhere, you know, no matter where you go *t*-2.###i have, you know, all,###this is the first really large company 0 i've worked for *t*-1.###i've always been involved in little small, you know, ind-, privately owned s-, owned firms###and so i've never had the, the big benefit package.	how	no	no	how * to compare it to other big companies *t*-1	yes	so, i really don't know , you know 	.	...what is a way...	...what is every way...	...what is the way...
57570:29	i don't think 0 i'd know where * to start *t*-1 with a diesel.	###speakera29.###oh, yeah.###yeah.###speakerb30.###and, uh, the injector pump went bad###so i found a outfit down here 0 *t*-1 to rebuild it. and, uh, i-, reinstalled that###speakera31.###speakerb32.###and that was probably one of the most miserable things 0 i had gotten into *t*-1 in a long time.###speakera33.	where	no	no	where * to start *t*-1	yes	i don't think 0 i'd know  with a diesel 	.	...what is a place...	...what is every place...	...what is the place...
76188:40	and i'm not sure just, uh, how, how the school system could operate in a vacuum on it *t*-1.	###and, you know, we do check with other teachers,###and other teachers find the same things in this child.###speakerb16.###right.###speakera17.###and, you know, how do you tell your parent's, the parent, hey, * wake up, and smell the coffee *t*-1.###speakerb18.###right.###speakera19.###but, um, it, it is a problem,	how	yes		just, uh, how, how the school system could operate in a vacuum on it *t*-1	yes	and i'm not sure  	.	...what is a way...	...what is every way...	...what is the way...
42453:92	well, i'm kind of leaning towards, i don't know, i'm thinking about what, from one to ten what my no would be *t*-1.	###yeah,###i think 0 it would be worth it###everybody wo-,###speakerb214.###well, i was watching a show about this the other night###and, you know, they were like in a, i think 0 it was on forty-eight hours.###speakera1.###okay,###well what do you think *t*-1?###speakerb2.	what	yes		what, from one to ten what my no would be *t*-1	yes	well, i'm kind of leaning towards, i don't know, i'm thinking about  	.	...what is a thing...	...what is every thing...	...what is the thing...
171174:43	a business associate of mine was, was talking about how it used *-1 to be where you would send things through the mail *t*-2 *t*-3	###speakerb12.###yeah.###speakera13.###we don't even wait for the mail anymore.###speakerb14.###uh-huh.###speakera15.###right.###speakerb16.###yeah, uh,	how	yes		how it used *-1 to be where you would send things through the mail *t*-2 *t*-3	yes	a business associa e of mine was, was  alking abou 	t	...what is a way...	...what is every way...	...what is the way...
21393:64	and, you know, you kind of, you're wondering, you know, well when did this happen *t*-1?	###speakerb58.###and i think 0 that's what i didn't like *t*-1.###speakera59.### and, and, and even, even at the beginning dede and, and hunter would decide that one of them would go *-1 do this, while the other one would do, would go this,###but, uh, it seemed like it was almost two different organizations you know,###speakerb60.###uh-huh.###speakera61.###like hunter was the boss,###and this other girl was not *?*,	when	no	yes	well when did this happen *t*-1	no	and, you know, you kind of, you're wondering, you know,  	?	...what is a time...	...what is every time...	...what is the time...
124741:10	is that why you said 0 i had more experience than you *t*-1?	###even if you don't have your major decided on *, * have an idea what you think 0 you might want *t*-1, you know,###so you don't want management,###but you think 0 you want business,###speakerb1.###so how many, um, credit cards do you have *t*-1?###speakera2.###um, i think 0 i'm down to one.###speakerb3.###oh, my gosh,###i wish 0 i was that way.	why	no	yes	why you said 0 i had more experience than you *t*-1	no	is that  	?	...what is a reason...	...what is every reason...	...what is the reason...
