TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	Finite	Question	Modal	Matrix	punct	AResponse	AllResponse	TheResponse
176813:21	uh, well my dad knew how * to do most of it *t*-1, you know.	###it was brand new.###speakera29.###brand new###mumblex.###speakerb30.###we started with the backyard and turned it into part of the house###so it was,###speakera31.### a-, and you knew how, you knew how * to do the framing *t*-1?###speakerb32.	how	no	no	how * to do most of it *t*-1	yes	uh, well my dad knew , you know 	.	...what is a way...	...what is every way...	...what is the way...
90180:32	so you worked, you learned how * to solve your problems on your own *t*-1.	###speakera24.###uh-huh.###speakerb25.###it's interesting, because i'm convinced 0 i have the same learning disability, or had, that *t*-1 was ignored *-2.###speakera26.###oh.###speakerb27.###and,###speakera28.###right,	how	no	no	how * to solve your problems on your own *t*-1	yes	so you worked, you learned  	.	...what is a way...	...what is every way...	...what is the way...
27427:14	and i forgotten what it was *t*-1 0 you put *t*-2 down, and then you can just paint right over the dark.	###it covered the spots pretty good###but it didn't, * excuse me, it didn't, uh, uh, it just didn't look as smooth as i wanted it to *?*.###speakera17.###well, we did a, uh,###we moved, oh, last august###and we're getting a house,###my house had this dark wood paneling at the end of the den###and we decided,###we went to, i've forgotten, one of the paint stores###and they just said, oh, you can get by,	what	yes		what it was *t*-1 0 you put *t*-2 down, and then you can just paint right over the dark	yes	and i forgotten  	.	...what is a thing...	...what is every thing...	...what is the thing...
106081:42	and what type of recommendations did you have *t*-1 when you decided where * to place him *t*-2 *t*-3?	###uh-huh.###speakerb4.###he actually died a few months after that,###and so as,###at least in retrospect, it was the right thing 0 * to do *t*-1###because he was either in a nursing home or a hospital or something else that he would have been spending most of his time in those days *t*-1.###speakera5.###right.###speakerb6.###speakera7.	where	no	no	where * to place him *t*-2	yes	and what type of recommendations did you have *t*-1 when you decided  *t*-3 	?	...what is a place...	...what is every place...	...what is the place...
126316:40	i don't, i don't even know how we'd pay for it *t*-1 anyway.	###yeah.###yeah,### i, i think 0 it *exp*-1 would be good for, uh, everyone to do something like that###but i, i guess 0 i don't feel like it should be something forced * upon you.###speakera43.###yeah,###well it, it probably won't *?*.###speakerb44.###uh-huh.###speakera45.	how	yes		how we'd pay for it *t*-1	yes	i don't, i don't even know  anyway 	.	...what is a way...	...what is every way...	...what is the way...
86728:108	i think 0 there is a lot of responsibility *ich*-3 on any of us gun owners * to make * sure that whoever *t*-1 is around us is at least safe and knows how * to use one *t*-2.	###uh-huh.###speakera125.###and i thought 0 that was the neatest thing###and, of course uncle sam took me out, took me hunting with him###speakerb126.###yeah.###speakera127.###and he let me shoot and showed me how.###speakerb128.###all right.	how	no	no	how * to use one *t*-2	yes	i think 0 there is a lot of responsibility *ich*-3 on any of us gun owners * to make * sure that whoever *t*-1 is around us is at least safe and knows  	.	...what is a way...	...what is every way...	...what is the way...
56985:74	and, uh, so i'm, i'm really quite, quite curious, how that would work *t*-1, * to have both, i mean, you know,	### i'm inte-, are you a t i employee,###i'm interested.###speakera69.###no,###i'm not *?*.###speakerb70.###not,###okay,###i just wondered.###speakera71.	how	yes		how that would work *t*-1, * to have both	yes	and  uh  so i'm  i'm really quite  quite curious    i mean  you know 	,	...what is a way...	...what is every way...	...what is the way...
172447:43	the old-timers, even the people who *t*-1 are technologists don't know how *-2 to operate these electronic things like v c r --s and whatnot *t*-3	###speakerb46.###huh.###speakera47.###uh, so i let my son do it###and, uh, of course, you know, there's, uh, there's an intellectual evolution taking place where,###speakerb48.###yeah.###speakera49.###it's sort of a joke###but it's really true,	how	no	no	how *-2 to operate these electronic things like v c r --s and whatnot *t*-3	yes	the old-timers, even the people  ho *t*-1 are technologists don't kno 	w	...what is a way...	...what is every way...	...what is the way...
148174:24	kind of away from the crowd is why we chose that one *t*-1.	###speakera23.###oh.###speakerb24.###speakera25.###oh.###speakerb26.###we haven't been there before.###speakera27.###um, that sounds nice.###speakerb28.	why	no	yes	why we chose that one *t*-1	no	kind of away from the crowd is  	.	...what is a reason...	...what is every reason...	...what is the reason...
111477:16	so that might be why i look for inexpensive places *t*-1 just because we're eating out probably five nights a week maybe.	###so he's a fan of, of dairy queen,### and, and we'll go even in town here at times, just as a, a change although i'm not that excited about it.###speakera39.###uh-huh.###speakerb40.###but we've eat, we eat out so much 0 it's gotten so i don't like *-2 to really eat any place###but yet i hate *-1 to cook food at home###speakera41.###oh.###speakerb42.	why	no	yes	why i look for inexpensive places *t*-1	no	so that might be  just because we're eating out probably five nights a week maybe 	.	...what is a reason...	...what is every reason...	...what is the reason...
80937:19	though, i can see why it won so many oscars *t*-1.	###i really liked it.###speakera21.###now ghost,###yeah,###i love tearjerker movies.###but that wasn't too bad on tearjerker###but, it was, oh, it was good movie,###speakerb22.###not too awful bad.###speakera23.	why	no	yes	why it won so many oscars *t*-1	no	though, i can see  	.	...what is a reason...	...what is every reason...	...what is the reason...
104923:71	people are afraid *-1 to fly now. you know, just because of, they don't know what their pilot's been doing *t*-2 and, and things like that	###and i worked for a dentist###and that's, uh, you know,### you, you come in contact with a lot of, of blood and things like that###and it's real, real dangerous.###speakera27.###uh-huh.###speakerb28.### i, i would think,###but, with all the accidents, just with, with, uh, everything happening with, just###airlines just drive me crazy.	what	no	yes	what their pilot's been doing *t*-2	no	people are afraid *-1  o fly now. you know, jus  because of,  hey don'  know  and, and  hings like  ha 	t	...what is a thing...	...what is every thing...	...what is the thing...
112329:21	and we still don't know what he does *t*-1.	###but, uh, although i have brought my boys into *-2 to see where i work *t*-1, it's not that easy,###and it's, it's certainly not at all common,###and they, they just don't really have that same idea,###speakera67.###right.###speakerb68.###so th-, they, uh,### it's a, it's a whole different, uh, kind of thing there then, uh,###speakera69.###my husband has taken us to work with him,	what	no	yes	what he does *t*-1	no	and we still don't know  	.	...what is a thing...	...what is every thing...	...what is the thing...
52598:15	but, i know what you're saying *t*-1, uh,	###uh-huh,###yeah.###speakerb42.###speakera43.###right,###we don't,###well, yeah###we definitely have lost the judeo-christian ethic of the judicial system for sure,###but the ba-, the base is still there,###the foundation *ich*-1 is still there, though, bu-, of the system,	what	no	yes	what you're saying *t*-1	no	but  i know   uh 	,	...what is a thing...	...what is every thing...	...what is the thing...
166277:11	you know what i mean *t*-1?	###i don't know.###uh, i haven't,###it's been, uh, well seventy-nine since i was at school. at high school.###speakerb4.###uh-huh.###speakera5.###and, uh, i've seen things change.###i don't know if i've seen things change enough that i can actually,###because i wasn't really like listening to the world go by back then###so it *exp*-1's hard * to compare.	what	no	yes	what i mean *t*-1	no	you know  	?	...what is a thing...	...what is every thing...	...what is the thing...
169521:46	and i thought 0 that was terrific because she actually helped me understand what *t*-1 was going on.	###right.###speakera53.### i, i mean that's, that's the closest thing.###i deeply cared about that.###speakerb54.###uh-huh.###speakera55.###uh, and i sort of had planned *-1 to have dinner with a friend of mine###and when i arrived at her house *t*-1, she was engrossed in that.###we ended up *-2 watching it for a couple of hours. zooming out and grabbing something 0 * to eat *t*-1 and then zooming back and ea-, watching it some more.	what	no	yes	what *t*-1 was going on	no	and i thought 0 that was terrific because she actually helped me understand  	.	...what is a thing...	...what is every thing...	...what is the thing...
169578:73	and i, i think 0 that's probably all right in that they, you know, maybe know what the, the norm *ich*-2 is *t*-1 for a particular thing.	###uh-huh.###speakera11.###and * seems to me that that's, i think 0 that's the way 0 it's done *-1 now *t*-2.###uh, at least, my understanding of the law which *t*-1 isn't very good.###speakerb12.###speakera13.###speakerb14.###uh-huh.###speakera15.###uh, it seems to me that the judge does it	what	no	yes	what the, the norm *ich*-2 is *t*-1 for a particular thing	no	and i, i think 0 that's probably all right in that they, you know, maybe know  	.	...what is a thing...	...what is every thing...	...what is the thing...
76029:23	and so, i don't know what they're finally going *-1 to do *t*-2.	###speakerb164.###right.###speakera165.###speakerb166.###right,###well the thing that *t*-1's funny is 0 they've done, uh, they've done things like that, you know,###i'll catch her out there *-1 spraying around,###and then it's like, in two days time they'll come home from work###and those little things are back.###it's just, 0 they're the most resilient little characters	what	no	yes	what they're finally going *-1 to do *t*-2	no	and so, i don't know  	.	...what is a thing...	...what is every thing...	...what is the thing...
155541:51	and he paled and said, uh, i'm not going *-2 to tell you what you said *t*-1.	###in france.###speakerb54.###yeah,###because they're real snobby about their language###and mumblex french is street french###and i just picked it up off the street###and i knew what i was, i knew what i was communicating *t*-1,###but i didn't know what i was saying *t*-1.###i never sat there and got a direct translation###and * said something here when i came home and french to somebody *t*-1	what	no	yes	what you said *t*-1	no	and he paled and said, uh, i'm not going *-2 to tell you  	.	...what is a thing...	...what is every thing...	...what is the thing...
171239:24	you know, i'm wondering what this is going *-1 to do *t*-2 in ten and twenty years.	###of course a part of it is technology.###i mean our kids, where would they be *t*-1 without nintendo and, you know, their t v shows###and no-,###some of that is really bad i think 0 *t*-1.###but, we have all single families.###so many single families now.###uh, a lot of working,###both parents are working.###so there's a whole big effect on our kids###and not very many of my daughter's friends really are on their original mother and father.	what	no	yes	what this is going *-1 to do *t*-2 in ten and twenty years	no	you know, i'm wondering  	.	...what is a thing...	...what is every thing...	...what is the thing...
