TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	Finite	Question	Modal	Matrix	punct	AResponse	AllResponse	TheResponse
118700:62	we, we don't know, half the time we don't know who *-1 to support *t*-2.	###well, what *ich*-2 do you know *t*-1 about latin american policies?###speakerb2.###well, i think 0 they're kind of ambivalent, really.###uh, i just have a feeling that we've kind of talked out of both sides of mouths down there like we do in some other situations you know.###speakera3.###uh-huh.###speakerb4.###speakera5.###huh. are you, uh, relating this, uh, to the, uh, affair 0 we've got *t*-1 going on in haiti right now?###speakerb6.	who	no	no	who *-1 to support *t*-2	yes	we, we don't know, half the time we don't know  	.	...who is a person...	...who is every person...	...who is the person...
170899:22	somebody who *t*-1 would know what * to do *t*-2 in the event of an emergency.	###or people send you there as a last resort.###speakerb26.###right,###right.###that's what my grandparents,###it was just so that the rest of the relatives would have peace of mind *-1 knowing that if anything happened, there was somebody there for them.###speakera27.###uh-huh.###speakerb28.###so that was their thinking.	what	no	no	what * to do *t*-2	yes	somebody who *t*-1 would know  in the event of an emergency 	.	...what is a thing...	...what is every thing...	...what is the thing...
155281:35	but, uh, we're to the point *ich*-1 now where our financial income is enough that we can consider *-2 putting some away for college *t*-3,	###speakerb12.###uh-huh.###speakera13.###we tried a way, try *-1 to put away two and four thousand a year just for that.###speakerb14.###yeah.###well that's pretty good if you can do that.###i know.###i have a daughter who *t*-1's ten###and we haven't really put much away for her college up to this point	where	yes		where our financial income is enough that we can consider *-2 putting some away for college *t*-3	yes	but  uh  we're to the point *ich*-1 now  	,	...what is a place...	...what is every place...	...what is the place...
105074:43	and i, i, i know how you can get injured *-1 *-1 doing much more than that *t*-2	### and, and i'll be if he didn't do it again.###this time a little earlier### and, and i had let * go before then and, before they took off this time and, and swatted him away.###so i moved over a, a few feet in the water and got out of his little realm where he was living *t*-1 underneath the dock and, uh, managed *-2 to get up.###* didn't go very far,###but i got up.###and it, it was a nice, uh, nice long skiing career,###but now i've gotten to where skiing is just kind of wears me out more than it does thrill me *t*-1.### i've, i've, uh, done about all 0 i dare *-1 do *t*-2 on skis.###you know, * skiing on one and jumping around here and there	how	yes		how you can get injured *-1 *-1 doing much more than that *t*-2	yes	and i, i, i kno 	w	...what is a way...	...what is every way...	...what is the way...
9582:7	see what we can come up with *t*-1.	###uh-huh.###speakera27.###so he, he does all kinds of strange things like that.###speakerb28.###oh, great.###boeing ought *-1 to hire him and give him a junkyard, and see if he could build a seven forty-seven out of it.###speakera29.###yeah.###speakerb30.###speakera31.	what	yes		what we can come up with *t*-1	yes	see  	.	...what is a thing...	...what is every thing...	...what is the thing...
39551:19	and i have been debating what *-2 to cook *t*-1 because one of my guests is a vegetarian.	###i'll bet 0 that is really good.###speakera137.###it makes a great sandwich.###speakerb138.###man,###i'm going *-1 to have *-2 to think of that.###we're getting company tonight,###speakera139.###oh, are you *?*.###speakerb140.	what	no	no	what *-2 to cook *t*-1	yes	and i have been debating  because one of my guests is a vegetarian 	.	...what is a thing...	...what is every thing...	...what is the thing...
118279:56	and, um, there's children in her classroom that *t*-1 just totally disrupt the classroom, where the teacher can not teach *t*-2	###that's right,###that's right.###speakerb18.###what, uh, grade is your daughter in *t*-1?###speakera19.### my, my daughter's in the, um, fourth grade###speakerb20.###uh-huh,###uh-huh.###speakera21.	where	yes		where the teacher can not teach *t*-2	yes	and  um  there's children in her classroom that *t*-1 just totally disrupt the classroom 	,	...what is a place...	...what is every place...	...what is the place...
23110:21	they have programs *ich*-1 around where you can reach the, uh,	###bye-bye.###speakerb130.###bye.###speakera1.###so what do you think *t*-1 about it?###how are we doing in recycling *t*-1?###are we,###speakerb2.###well, i think 0 we need *-1 to do more.###i mean, i know 0 i need *-1 to do more.	where	yes		where you can reach the, uh	yes	they have programs *ich*-1 around  	,	...what is a place...	...what is every place...	...what is the place...
53546:13	but i understand why bush, you know, doesn't want *-1 to go in and, and uh, take sides *t*-2.	###uh-huh.###speakerb62.###speakera63.###yeah,###it begins *-1 to make you wonder why we didn't go ahead and go on in and, finish the job while we were in there *t*-2.###speakerb64.###yeah.###speakera65.###speakerb66.###right.	why	no	yes	why bush, you know, doesn't want *-1 to go in and, and uh, take sides *t*-2	no	but i understand  	.	...what is a reason...	...what is every reason...	...what is the reason...
5870:36	and they have this whole team, you know, analyze why they came in *-2 last *t*-1	###right?###speakerb124.###uh-huh.###speakera125.###and so, i b m says well we have, we have *-1 to have a team,###right.###speakerb126.###uh-huh.###speakera127.###and then they come in *-1 last	why	no	yes	why they came in *-2 last *t*-1	no	and th y hav  this whol  t am, you know, analyz 	e	...what is a reason...	...what is every reason...	...what is the reason...
