TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	Question	AResponse	AllResponse	TheResponse	Matrix
153578:48	that kind of i mean it just makes you wonder how people get guns *t*-1.	###speakera79.###um.###speakerb80.###so. well, uh, did you hear about that killeen massacre or whatever?###speakera81.###yeah,### the, did it happen at a cafeteria or something?###speakerb82.###yeah,###right.that kind of i mean it just makes	how	no	how people get guns *t*-1	...what is a way...	...what is every way...	...what is the way...	you wonder 
31157:19	and even if i knew how * to teach the subject matter *t*-1, i don't know if i'd know how * to handle that kind of a, a group of kids *t*-2.	###i don't know anything about it.###speakerb31.###that's pretty interesting because just, just because you know a subject matter doesn't mean 0 you can teach it.###speakera32.###speakerb33.###speakera34.###right.###speakerb35.###speakera36.###right.and even if i knew , i don't know if 	how	no	how * to teach the subject matter *t*-1	...what is a way...	...what is every way...	...what is the way...	i'd know how * to handle that kind of a, a group of kids *t*-2. 
5742:24	oh, you know i like what i'm doing *t*-1 right now.	###and, uh, you know, most of the navy funds that###i probably won't do it until i,###if i do do it, it will be after i get out of the navy.###speakera75.###when do you get out *t*-1?###speakerb76.###oh, probably be another twelve years.###speakera77.###oh, okay.###speakerb78.	what	no	what i'm doing *t*-1 right now	...what is a thing...	...what is every thing...	...what is the thing...	oh, you know i like 
76857:29	isn't it, funny how, how, your standards change *t*-1?	###the weather is wonderful.###uh, this winter we,###it was just,###we had so many wonderful days.###and,###speakerb164.###uh-huh.###speakera165.###uh, i,###if it got *-1 to be forty degrees, i decided 0 it was too cold * to, to walk the dogs.	how	no	how, how, your standards change *t*-1	...what is a way...	...what is every way...	...what is the way...	isn't it, funny 
133841:11	you know what i'm saying *t*-1	###okay.###speakera67.###we did, uh, oh,###you do mix the color as far as you start with, uh, white and then they add the color.###speakerb68.###uh-huh.###speakera69.###speakerb70.###yeah.###speakera71.	what	no	what i'm saying *t*-1	...what is a thing...	...what is every thing...	...what is the thing...	you know
60573:116	and, and i seem rather happy about it *ich*-2 most of the time, *-3 just, just to know, what's, possibilities *t*-1 are, you know, what *t*-4 might happen.	###uh-huh.###well, the one thing i guess 0 *t*-1 at least in your favor is the, the fact that, that is more in the support of the manufacturing###and there's lots and lots of companies that *t*-1 have maybe not in the de-, the defense area but manufacturing in general.###speakera65.###* to tell you the truth, i'm, i'm, i'm not really worried.###speakerb66.###uh-huh.###that's great.###that's good.###speakera67.and, and i seem rather happy about it *ich*-2 most of the time, *-3 just, just 	what	yes	what *t*-4 might happen	...what is a thing...	...what is every thing...	...what is the thing...	to know, what's, possibilities *t*-1 are, you know, 
16185:21	or even have you ever seen where they, they'll take a watermelon and just cut the top out of it and then hollow that out, and then put the fruit in the watermelon *t*-1	###speakerb28.###yes.###speakera29.###speakerb30.###right.###speakera31.###it stays nice and fresh.###speakerb32.###right,###that's true.	where	yes	where they, they'll take a watermelon and just cut the top out of it and then hollow that out, and then put the fruit in the watermelon *t*-1 or even have 	...what is a place...	...what is every place...	...what is the place...	you ever seen
110811:17	she's always worried who *t*-1's looking over her shoulder	###speakera17.###i think so too.###speakerb18.###but, um.###speakera19.###they're so worried about lawsuits and the scores 0 the children get *t*-1 on tests *ich*-2 now and teacher competency, you know,###speakerb20.###right.###speakera21.###and it's not like the teacher can just get in there and do her best,	who	no	who *t*-1's looking over her shoulder	...who is a person...	...who is every person...	...who is the person...	she's always worried
144508:26	and, uh, because you never know what *t*-1's going *-2 to happen.	###uh-huh.###speakerb64.###and, uh, course, i'm not all ready *-2 to just run out there and start *-3 dating everybody 0 i can *?* *t*-1 or anything.###speakera65.###yeah.###speakerb66.###but, it *exp*-1's sort of scary * to find yourself single again, you know.###speakera67.###uh-huh.###speakerb68.	what	no	what *t*-1's going *-2 to happen and, uh, because	...what is a thing...	...what is every thing...	...what is the thing...	you never know 
42920:16	well, i know how * to use one *t*-1.	###* hold on,###speakerb186.###yeah.###speakera187.###he's in here somewhere,###i know 0 he is *?*.###speakerb188.###right.###speakera189.###yeah.	how	no	how * to use one *t*-1	...what is a way...?	...what is every way...?	...what is the way...?	well, i know .
control_a_tissue	Do you want a tissue?	speakera. Your nose is running. speakerb. Oh yeah I didn't notice. speakera. 	none	no	Do you want a tissue?	A tissue…?	Every tissue…?	The tissue…?	
control_a_napkin	Can I hand you a napkin?	speakera. Oh no! I just spilled my spaghetti down my shirt. speakerb. Oh no.	none	no	Can I hand you a napkin?	A napkin…?	Every napkin…?	The napkin...?	
control_the_book	Did you return the book you borrowed?	speakera. Hey. speakerb. Hey what's up? speakera. I noticed a late fee from the library. 	none	no	Did you return the book you borrowed?	A book...?	Every book…?	The book...?	
control_the_movie	Can you text me the movie schedule?	speakera. What are you doing tonight? speakerb. Nothing what about you? Wanna grab a movie? speakerb. Sure but I don't have wifi right now. 	none	no	Can you text me the movie schedule?	A movie schedule...?	Every movie schedule…?	The movie schedule...?	
control_all_cookies	Did you grab all the cookies?	speakera. It's time to leave for the potluck.The car's almost packed. speakerb. 	none	no	Did you grab all the cookies?	A cookie...?	Every cookie…?	The cookie...?	
control_all_novels	Have you read all her novels?	speakera. I love Octavia Butler she's the best. speakerb. Yeah she's great. speakera.	none	no	Have you read all her novels?	An novel...?	Every novel…?	The novel...?	
