TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	Finite	Question	Modal	Matrix	punct	AResponse	AllResponse	TheResponse
38890:31	and i, i still remember how * to do it *t*-1.	###speakerb30.###so.###speakera31.###i enjoy, uh, sewing and needlework also.### i've, i've, uh, made some small things, cross stitch things.###and, um back when i was in high school *t*-1, i worked at a needlework shop,###speakerb32.###uh-huh.###speakera33.###and i, i used *-1 to do the latch hook rugs and needlepoint and things like that,	how	no	no	how * to do it *t*-1	yes	and i, i still remember  	.	...what is a way...	...what is every way...	...what is the way...
68864:21	well, i don't know what our next trip will be *t*-1,	###speakerb138.###uh-huh.###speakera139.### she, uh, she had this, uh, book of pictures from it that *t*-1 were really nice, kind of like a travel guide###speakerb140.###uh-huh,###* sounds good.###speakera141.###so, uh, that should be a lot of fun.###speakerb142.	what	yes		what our next trip will be *t*-1	yes	well  i don't know  	,	...what is a thing...	...what is every thing...	...what is the thing...
122928:16	i'm not sure how you would ach-,	### our, our, our senate and congress and, and people that, that *t*-1 deal everyday and, and what's *t*-2 going *-3 to be done *-4 with those monies um, and don't really understand what that is *t*-5 or how a budget even works *t*-6.###speakera9.###yes.###speakerb10.###speakera11.###uh-huh.###speakerb12.###uh, we need *-1 to elect people that *t*-2 are more, uh,###or...###speakera13.	how	yes		how you would ach-	yes	i'm not sure  	,	...what is a way...	...what is every way...	...what is the way...
29132:73	they're more serious about what the salary should be *t*-1 for senators than they are *?* for what, how the level of education should be *t*-2 for children.	###speakera4.###uh-huh.###speakerb5.###speakera6.###right.###speakerb7.###so, uh, i mean, when you, when you take, uh, uh, professionals and put them in situations, 0 they have *-1 to make decisions based * on money 0 * to fund public education *t*-3 *t*-2 *t*-4,###and they can't get their finger out of their ear long enough * to, to get that major subject in line,###something's wrong.###so, i think here in texas mainly that the, the, they're not serious,	how	yes		what, how the level of education should be *t*-2 for children	yes	they're more serious about what the salary should be *t*-1 for senators than they are *?* for  	.	...what is a way...	...what is every way...	...what is the way...
9927:18	but they don't know how * to act yet *t*-1.	###speakerb10.###yeah.###speakera11.###and the people in the city were saying, well why should i go *-1 do that *t*-2.###* make the government do that,###that's not my job.###speakerb12.###right,###they've got a lot of adjustments 0 * to make *t*-1 with *-3 coming out of what they've been through *t*-2 now,###and, uh, they've been, they've been under, under the oppression that they've been under *t*-1 for so long that now 0 they have some freedoms	how	no	no	how * to act yet *t*-1	yes	but they don't know  	.	...what is a way...	...what is every way...	...what is the way...
71650:16	you can't forget how * to ride a bike *t*-2.	### we've, we ride our bike occasionally but again not nearly often enough.###speakerb86.###uh-huh.###i don't even own a bike,###i think 0 the last time 0 i was on a bike *t*-1 when i was about twelve *t*-2,###so.###uh, i don't know,###i'd be afraid,, afraid 0 i probably forgot how * to ride a bike *t*-1, you know.###speakera87.###no,	how	no	no	how * to ride a bike *t*-2	yes	you can't forget  	.	...what is a way...	...what is every way...	...what is the way...
166306:29	but then, again, i'm not quite sure where the blame ought *-1 to be put *-1 *t*-2. uh, because the, the dropout rate is, in those areas, w-,	###i mean, somebody's getting, getting a good education because we, continue *-1 to employ people.###speakerb14.###right.###speakera15.###speakerb16.###speakera17.###but, uh, i don't, i don't understand the, uh, i don't understand, i guess 0 *t*-1, why the schools don-, seem *-2 to have such a high dropout rate in the big cities *t*-3.###speakerb18.###uh, well, i don't pretend *-1 to understand that either.###uh, but i'm not quite sure that it's the kind of thing that *t*-1 ought *-2 to be blamed *-3 on the schools.	where	yes		where the blame ought *-1 to be put *-1 *t*-2	yes	but then  again  i'm not quite sure . uh  because the  the dropout rate is  in those areas  w- 	,	...what is a place...	...what is every place...	...what is the place...
21920:20	and * let's see how we can get rid *-1 of the problem *t*-2, you know,	###thing is, is, that, you know, like if, if they would ever happen *-1 to have a drug problem, * suppose, that they could feel comfortable *-2 coming to me and saying, i got a problem you know,###speakera96.###problem,###uh-huh###speakerb97.### and, uh and that would make any parent feel good and bad at the same time, you know,###speakera98.###yeah.###speakerb99.###first of all you're coming to me	how	yes		how we can get rid *-1 of the problem *t*-2	yes	and * let's see   you know 	,	...what is a way...	...what is every way...	...what is the way...
24499:78	i'm, uh, i deal much better in research and books, and stuff like that which *t*-1 is why i'm going *-2 to enjoy the paralegal field a lot *t*-3.	###yeah.###speakerb158.###speakera159.###uh-huh.###speakerb160.###speakera161.###uh-huh.###speakerb162.###i,###it's just not for me.	why	no	yes	why i'm going *-2 to enjoy the paralegal field a lot *t*-3	no	i'm, uh, i deal much better in research and books, and stuff like that which *t*-1 is  	.	...what is a reason...	...what is every reason...	...what is the reason...
97054:16	i do not know why god made women brilliant *t*-1.	###uh-huh.###speakerb182.###and so are *t*-1 children.###speakera183.###uh-huh.###speakerb184.###they do not know how *-1 to think for themselves and be responsible, for themselves *t*-2.###speakera185.###uh-huh.###speakerb186.	why	no	yes	why god made women brilliant *t*-1	no	i do not know  	.	...what is a reason...	...what is every reason...	...what is the reason...
