TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	Finite	Question	Modal	Matrix	punct	AResponse	AllResponse	TheResponse
84882:38	so it *exp*-2's kind of hard for me to tell what *t*-1 would happen if i lived in some of the valleys inland,	###right.###speakera57.###bye.###speakerb58.###bye-bye.###speakera1.###um, what do you think 0 the major cause of air pollution or at least in the boston areas,###speakerb2.###well, the, the, the major cause it seems 0 *t*-1 up here is exc-,###i live right on the ocean	what	yes		what *t*-1 would happen if i lived in some of the valleys inland	yes	so it *exp*-2's kind of hard for me to tell  	,	...what is a thing...	...what is every thing...	...what is the thing...
5923:66	like all these people are just standing, sitting around, just going, you know, like what shall we do *t*-1?	###uh-huh.###speakera143.###and then the other people just plan it, you know.### it's like, it's like have you, have have you ever seen the commercial like for federal express where the, with, uh, the think tank? you know,###speakerb144.###mumblex * push paper around.###speakera145.###speakerb146.###uh-huh.###speakera147.	what	yes		like what shall we do *t*-1	yes	like all these people are just standing, sitting around, just going, you know,  	?	...what is a thing...	...what is every thing...	...what is the thing...
161808:39	well, actually, i, i've known how * to sail *t*-1 pretty much my whole life.	###like those catamarans are pretty fast.###speakerb72.###yeah,###what,###speakera73.###you can actually,###speakerb74.###* do, if you get one like that do have somebody teach you that###or they just,###speakera75.	how	no	no	how * to sail *t*-1	yes	well, actually, i, i've known  pretty much my whole life 	.	...what is a way...	...what is every way...	...what is the way...
45116:18	but i did not know how * to use those voting machines *t*-1	###speakerb108.###that's right.###speakera109.###i mean, you know, it would have *-1 to be a child that *t*-2 is just coming into school.###because, well i'll tell you another thing too now.### whenever, the first time 0 i voted *t*-2, i never voted in high school because there was never anyone that *t*-1 showed us how * to use the voting machines *t*-3,###speakerb110.###uh-huh.###speakera111.###now this sounds dumb,	how	no	no	how * to use those voting machines *t*-1	yes	but i did not kno 	w	...what is a way...	...what is every way...	...what is the way...
147897:21	but when i think about where i'd want *-1 to go *t*-2 *t*-3, you know, this is still the best	###right.###speakerb64.###* usually involving the prime minister or people very close to him.###speakera65.###yeah.###speakerb66.###so, uh,###speakera67.###yeah,###i still believe 0 i get very fed up with government sometimes	where	yes		where i'd want *-1 to go *t*-2	yes	bu  when i  hink abou   * *-3, you know,  his is s ill  he bes 	t	...what is a place...	...what is every place...	...what is the place...
7584:95	and they're the ones that, uh, you know, *t*-1 really know what *t*-2's going on, have the experience and seen, you know, how politicians can, you know, screwup *t*-3 or what ever.	###they'll just say, oh, well, you know, the republicans have this election###we'll see you in four years.###speakera50.###right.###yeah.###speakerb51.###mumblex * hope some of the local,###well that's what they, they keep *-3 saying *t*-1 that it seems like people with old-fashioned values are the ones that *t*-2 aren't turning out at the, at the booths,### they, they say that these older voters that, uh, you know, they, they feel like the kids are running the, the country###so they, they don't come out, turn out *-1 to vote	how	yes		how politicians can, you know, screwup *t*-3 or what ever	yes	and they're the ones that, uh, you know, *t*-1 really know what *t*-2's going on, have the experience and seen, you know,  	.	...what is a way...	...what is every way...	...what is the way...
87599:18	and i don't know what * to cutback on *t*-1 * to, to get, to get that, to get that settled *-2.	###speakera1.###well, we, uh,###taxes,###everyone thinks 0 taxes are too high i'm sure 0 *t*-1.###but, uh, i think 0 we do get quite a good value for the tax dollars 0 we spend *t*-1 in most cases.###what do you think *t*-1?###speakerb2.###uh, yeah,### i, i think so.### i, i'm, uh, i think 0 i'm, i think 0 i'm, uh, a little out of the ordinary in that, that i, i, uh, i think 0 i'm more worried about the deficit, the national deficit than, than, uh, a lot of other people are *?* and think that we need *-1 to, we need *-2 to either raise our taxes or, or cutback on something	what	no	no	what * to cutback on *t*-1 * to, to get, to get that, to get that settled *-2	yes	and i don't know  	.	...what is a thing...	...what is every thing...	...what is the thing...
133293:18	so i don't know how they expect them to, uh, pass history *t*-2 when they can't read anything, you know, even read a word problem in math *t*-1.	###something is definitely wrong.###speakerb22.###uh-huh.###speakera23.###and, uh, one thing, they don't spend as much time *-1 just teaching reading and writing,###so a lot of kids are just being promoted *-1 from year to year###and they truly can't read###speakerb24.###right.###speakera25.	how	yes		how they expect them to, uh, pass history *t*-2 when they can't read anything, you know, even read a word problem in math *t*-1	yes	so i don't know  	.	...what is a way...	...what is every way...	...what is the way...
162865:44	and i also think, just like you were talking about *ich*-1 before, why you were chosen *-3 to be on a jury *t*-2 that, uh, the, just, the process of * picking jurors is not always objective.	###the case was reopened *-1###and he was exonerated *-1.###speakera15.###well, i mean, i think that there are many cases in our judicial system where justice is not served *-2 *t*-1.###speakerb16.###yeah,###many laws, but little justice.###speakera17.###say,###but, uh,	why	no	yes	why you were chosen *-3 to be on a jury *t*-2	no	and i also think, just like you were talking about *ich*-1 before,  that, uh, the, just, the process of * picking jurors is not always objective 	.	...what is a reason...	...what is every reason...	...what is the reason...
34705:16	i don't understand why they charge you out the kazoo for both *t*-1.	###yeah,###yeah,###speakerb138.###speakera139.###and then if you want popcorn and stuff it's just, i mean, uh, it's incredible.###no,###speakerb140.###yeah.###speakera141.###speakerb142.	why	no	yes	why they charge you out the kazoo for both *t*-1	no	i don't understand  	.	...what is a reason...	...what is every reason...	...what is the reason...
27669:28	it explains why they, why they have everything white *t*-1	###and she did that all the way around the room which *t*-1 makes it look very attractive,###speakerb98.###yeah.###speakera99.###but it makes the room look smaller which *t*-1 is, uh uh, which *t*-2 is,###speakerb100.###yeah.###speakera101.###speakerb102.###speakera103.	why	no	yes	why they, why they have everything white *t*-1	no	it explain 	s	...what is a reason...	...what is every reason...	...what is the reason...
55821:35	because you can buy a month's membership. and see what you feel 0 *t*-1 is best for you.	###speakerb146.###so you have a little, you know, little,###you can program the one at cosmopolitan lady so, to what your gear is *t*-1.###speakera147.###uh-huh.###speakerb148.###uh, i,###it would depend upon which one you want *t*-1.###i think 0 now that i've had the bicycle, i would go to the stepper.###but if i were you, i would go *-1 apply to either a health club or one of the others and use it for a while.	what	no	yes	what you feel 0 *t*-1 is best for you	no	because you can buy a month's membership  and see  	.	...what is a thing...	...what is every thing...	...what is the thing...
118443:11	they say what aspect are you worried about *t*-1,	###do you know?###speakerb12.###oh, i don't know.###speakera13.###yeah,###okay,###well back to crime,###i guess 0 we're supposed *-1 to talk about that.###speakerb14.###speakera15.	what	no	yes	what aspect are you worried about *t*-1	no	they say  	,	...what is a thing...	...what is every thing...	...what is the thing...
70020:60	and i guess 0 i'm going *-1 to have *-2 to try that area sometime and see what it's like *t*-3.	###yeah.###their springs and summers are pretty mild, too.###it never gets real, real hot.###speakerb134.###uh-huh.###i'll have *-1 to try that out because i had heard that north carolina was sort of like that.###speakera135.###uh-huh.###speakerb136.###and, uh, i've just never really been in that region of the country	what	no	yes	what it's like *t*-3	no	and i guess 0 i'm going *-1 to have *-2 to try that area sometime and see  	.	...what is a thing...	...what is every thing...	...what is the thing...
158647:21	uh, i can't remember what they call it *t*-1 actually	###speakerb74.### and you know so they, you know, they used, uh, oh, i think 0 they used the,###you probably heard where, you know, where you stand in front of the clock and get your power back *-1 to control yourself *t*-2.###speakera75.###i've never heard of that.### that's, that's a new one, on me.###speakerb76.###and it's, it's one,###speakera77.###speakerb78.	what	no	yes	what they call it *t*-1	no	uh, i can't remember  actuall 	y	...what is a thing...	...what is every thing...	...what is the thing...
142702:31	oh, oh, oh, oh, i know what you are talking about *t*-1.	###uh-huh.###speakerb66.###and he came with, with his own raf-,###what do you call those things *t*-1?###speakera67.###the blowers?###speakerb68.###no,###those where you built like a rafter thing *t*-1.###speakera69.	what	no	yes	what you are talking about *t*-1	no	oh, oh, oh, oh, i know  	.	...what is a thing...	...what is every thing...	...what is the thing...
164923:50	and a lot of time i don't hear exactly what they, what they write *t*-1 into it.	###speakera24.###oh, i like the straight reporting.###uh, and then i, i hope *-1 to be able *-2 to form my own opinion of it.### it's, it *exp*-1's nice * to hear someone's interpretation of it###speakerb25.###uh-huh.###speakera26.###uh, i always think 0 it's humorous when, when the president gives the state of the union and, uh, for thirty minutes and then for an hour and a half you hear different commentators explaining what you just heard *t*-1 *t*-2.###speakerb27.###speakera28.	what	no	yes	what they, what they write *t*-1 into it	no	and a lot of time i don't hear exactly  	.	...what is a thing...	...what is every thing...	...what is the thing...
110969:19	but, who *t*-1 knows what he's going *-2 to bring *t*-3 home.	###so, that's interesting,###but, he, his grades, i haven't seen them yet,###but supposedly they're good,###so,###speakera81.###yes,###you always hear how good.###now my son's at, junior high and says that his grades are going *-1 to be wonderful###speakerb82.###speakera83.	what	no	yes	what he's going *-2 to bring *t*-3 home	no	but, who *t*-1 knows  	.	...what is a thing...	...what is every thing...	...what is the thing...
100252:39	and we can't see her often enough *-1 to really know what *t*-2's going on.	###well, she stayed, she stayed in a temporary nursing home. until she was okay.###speakerb108.###oh.###speakera109.###you know, it's just,###but it's frightening to us because we live pretty far from her.###she's down in temple###speakerb110.###uh-huh.###speakera111.	what	no	yes	what *t*-2's going on	no	and we can't see her often enough *-1 to really know  	.	...what is a thing...	...what is every thing...	...what is the thing...
147939:143	i, i haven't gotten into that too much because, i, uh, if i don't know the story line and, um, i don't speak the language, then i have difficult time, *-1 comprehending what *t*-2's going on.	###um, do you go to the operas that they sing english *t*-1 or go to the ones that they sing other languages *t*-2?###speakera11.###well, we, uh, generally,###the places 0 we've gone *t*-1 they sing in the original languages.###speakerb12.###uh-huh.###speakera13.###like the dallas opera here normally does, i guess 0 *t*-1.###speakerb14.###uh-huh.	what	no	yes	what *t*-2's going on	no	i, i haven't gotten into that too much because, i, uh, if i don't know the story line and, um, i don't speak the language, then i have difficult time, *-1 comprehending  	.	...what is a thing...	...what is every thing...	...what is the thing...
2805:37	well, i don't even want *-1 to tell you what ours has been like *t*-2 then.	###oh, no,###damp.###speakerb6.### we have, we have gone through, what *t*-1 might be called *-2 the four seasons, uh, in the last week.###speakera7.###uh-huh.###speakerb8.###we have had highs of seventy-two, lows in the twenties.###speakera9.###my goodness.	what	no	yes	what ours has been like *t*-2 then	no	well, i don't even want *-1 to tell you  	.	...what is a thing...	...what is every thing...	...what is the thing...
126793:26	they ask me, you know, what are you doing *t*-1 in a dress	###and i have sweatshirt on today.###speakera19.###uh-huh.###speakerb20.###and that's pretty much the norm for me.###if i come in in a dress, everybody's shocked.###speakera21.###yeah,###i understand.###speakerb22.	what	no	yes	what are you doing *t*-1 in a dress	no	they ask me  you know 	,	...what is a thing...	...what is every thing...	...what is the thing...
41231:66	what you can do *t*-1 is, you can write different places, the chamber of commerce, tell them what you're interested in *t*-2.	###it would run into a lot of money.###so,###speakera125.###yeah.###but, they had,###that was, you know,###that,###speakerb126.###that sounds like fun.###speakera127.	what	no	yes	what you're interested in *t*-2	no	what you can do *t*-1 is, you can write different places, the chamber of commerce, tell them  	.	...what is a thing...	...what is every thing...	...what is the thing...
