TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	Finite	Question	Modal	Matrix	punct	AResponse	AllResponse	TheResponse
87943:11	she knows how * to twist this around *t*-1,	###speakera55.###yeah,###and she's rich###and she,###yeah,###so.###speakerb56.###mumblex she's smart at what she does *t*-1.###she knows how * to do that *t*-1.###speakera57.	how	no	no	how * to twist this around *t*-1	yes	she knows  	,	...what is a way...	...what is every way...	...what is the way...
30380:92	you know, she always seems *-3 to have better things 0 *-4 to do *t*-1 than *-4 to try *-5 to sit down and figure out how * to use her computer *t*-2 you know.	###oh, definitely,###definitely.###i know 0 my stepfather bought my mother a little personal computer, oh, i guess *rnr*-1, probably three years ago for christmas,###and, you know, it's got some stuff on it.###it's got a nice little word processing software on it, you know, and some budgeting type things and stuff.###and i don't think 0 she's ever touched it you know.###speakera43.###really.###speakerb44.### it just, it just seems like a lot of trouble for something at home.	how	no	no	how * to use her computer *t*-2	yes	you know, she always seems *-3 to have better things 0 *-4 to do *t*-1 than *-4 to try *-5 to sit down and figure out  you know 	.	...what is a way...	...what is every way...	...what is the way...
42920:16	well, i know how * to use one *t*-1.	###* hold on,###speakerb186.###yeah.###speakera187.###he's in here somewhere,###i know 0 he is *?*.###speakerb188.###right.###speakera189.###yeah.	how	no	no	how * to use one *t*-1	yes	well, i know  	.	...what is a way...	...what is every way...	...what is the way...
128373:26	i'm thinking what, what problems my children might have *t*-1 in that, uh,	###yes,###and also, uh, depending on how, uh, uh, adjustable *ich*-2 your child would be *t*-1, or, or flexible, i guess 0 it would be *?*, uh,### if, if they chose a college in a different part of the country that maybe the, they were unused to their, that, the way 0 *t*-1 they run things *t*-2,###i mean, the, the northern colleges are very different than the southern colleges, i think 0 *t*-1.###the people are different###and, uh, you have *-1 to be more flexible and more willing *-2 to, uh, uh, adjust to other people's mannerisms and customs or ways of * doing things.###you know, you have *-1 to be a flexible person *-2 to be able *-3 to go all the way across country to something totally different than what you're used to *t*-4.###uh,###speakera19.###yes,	what	yes		what, what problems my children might have *t*-1 in that	yes	i'm thinking   uh 	,	...what is a thing...	...what is every thing...	...what is the thing...
109981:20	so, i don't know how you could have a full time job and ever have any vacation time 0 * to do anything besides * go to the doctor *t*-1 *t*-2.	###well, and i think 0 a lot of companies are realizing this and offering more opportunities as far as like job sharing or, you know, even having a day care on site and that kind of stuff,###and i think 0 that's really important that, that they do that###speakera51.###yeah.###speakerb52.###and they realize 0 there's a need for that,###and, um, i don't know,###i found 0 when i did do some work *t*-1 when my son was young *t*-2, it was like contract work,###and it wasn't where i had *-1 to be there every day *t*-2,###but, i mean, we were going to the doctor once a week,	how	yes		how you could have a full time job and ever have any vacation time 0 * to do anything besides * go to the doctor *t*-1 *t*-2	yes	so, i don't know  	.	...what is a way...	...what is every way...	...what is the way...
50691:21	but i don't quite see how they'd make it work *t*-1.	###i haven't heard of it, anything too much about it.###um,###speakera3.###well, i think 0 it was, uh, thought *-1 up when there was so much controversy about * reviving a draft *t*-2###and people said, well, they, uh, young people who *t*-1 were drafted *-2 have *-3 to provide military service to the country,###but there are an awful lot of young people who *t*-1 would benefit from, um, some sort of public service, like the conservation corps back in the thirties or, uh, various other things of that sort.###speakerb4.###uh-huh.###speakera5.###and it seems to me that it's, it's not a totally bad idea,	how	yes		how they'd make it work *t*-1	yes	but i don't quite see  	.	...what is a way...	...what is every way...	...what is the way...
9174:42	apart from that, i, i don't know what we can do *t*-1 as individuals.	###yeah.###speakera33.###uh, what do you think 0 individuals could do *t*-1, or society could do *t*-1 * to alleviate this problem.###speakerb34.###uh, i don't, uh, i don't know whether we could do a whole lot as individuals.###uh, maybe just take good care of our cars, and make * sure 0 we keep our pollution devices clean and all that sort of thing.###um,###speakera35.###right.###speakerb36.	what	yes		what we can do *t*-1 as individuals	yes	apart from that, i, i don't know  	.	...what is a thing...	...what is every thing...	...what is the thing...
113844:33	i was, i was wondering what your response would be *t*-1.	###speakera6.###do you feel 0 there's a problem with immigration in america?###speakerb7.###um, uh, i think 0 there's some problems,###but they're not really big ones.###i think that, um, in general the whole immigration policy isn't quite as open as it should be *?*. that it *exp*-1's really pretty hard for people from other countries to get in here even if they're educated and will be a good asset to america.###it *exp*-1's often hard for them to get in and get on the track towards citizenship unless they marry a citizen or something like that.###speakera8.###okay.###that's interesting.	what	yes		what your response would be *t*-1	yes	i was, i was wondering  	.	...what is a thing...	...what is every thing...	...what is the thing...
51227:16	i don't understand why encovilla got released *-1 *t*-2.	###speakerb23.###well, that's true.###i think, 0 i've kind of become a rangers fan over the last eleven years since i've been here.###uh, they've led the american league in batting, fielding and pitching,###but they've never been able *-1 to do more than one of those in any, any given year.###so.###speakera24.###yes.###i think 0 they're in for a odd year this year,###actually, um, they, um,	why	no	yes	why encovilla got released *-1 *t*-2	no	i don't understand  	.	...what is a reason...	...what is every reason...	...what is the reason...
55073:16	i don't know why it *exp*-2's so hard * to find, uh, a good quarterback these days *t*-1.	###speakerb26.###yeah.###speakera27.###it's funny, over the years.###speakerb28.###i guess 0 since staubach left, they haven't been able *-1 to, keep it going.###speakera29.### it's. it's been a rough tow, a rough road 0 * to hoe *t*-1 ever since he left.###speakerb30.###speakera31.	why	no	yes	why it *exp*-2's so hard * to find, uh, a good quarterback these days *t*-1	no	i don't know  	.	...what is a reason...	...what is every reason...	...what is the reason...
