TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	Finite	Question	Modal	Matrix	punct	AResponse	AllResponse	TheResponse
177033:54	it makes 0 you wonder, uh, had the jury been a different group of people what *t*-1 would have happened with that outcome.	###mumblex.###speakera3.###so i, i really don't think 0 it, they can really do much of anything *-1 to change it.###what do you think *t*-1?.###speakerb4.###uh, i, i don't think so.###possibly in the jury selection would be the only,###speakera5.###speakerb6.###just for example, what we're seeing *t*-1 in california i guess *t*-2.	what	yes		had the jury been a different group of people what *t*-1 would have happened with that outcome	yes	it makes 0 you wonder, uh,  	.	...what is a thing...	...what is every thing...	...what is the thing...
58592:26	but we're trying *-1 to decide what can we serve *t*-2 because at this one the hostess was pretty busy *-3 running around trying *-4 to get stuff ready for the table	###speakerb61.###uh-huh.###speakera62.###and you came *-1 dressed *-2 as one of the characters###and you had *-1 to solve the mystery during the dinner,###speakerb63.###uh-huh.###speakera64.###and it was really fun###and so we, we were thinking 0 we wanted *-1 to do, you know, we were going *-2 to try *-2 doing it ourselves,	what	yes		what can we serve *t*-2	yes	but w 'r  trying *-1 to d cid   b caus  at this on  th  host ss was pr tty busy *-3 running around trying *-4 to g t stuff r ady for th  tabl 	e	...what is a thing...	...what is every thing...	...what is the thing...
151664:44	well, you know, i, i can see how they can say in the work place 0 we, you don't want them to smoke *t*-1,	###yeah.###speakerb37.###and also i just think 0 it, it gets a lot,###i'm a big, uh, supporter of personal freedoms and personal privacies,###and i think that it just moves down along a line that, that i really would find *t*-1 bad if, if most people went down that line into *-2 regulating employees' lives outside of work, you know,###there's already talk of people,###well, we're not going *-1 to hire you if you smoke.###speakera38.###mumblex.###speakerb39.	how	yes		how they can say in the work place 0 we, you don't want them to smoke *t*-1	yes	well  you know  i  i can see  	,	...what is a way...	...what is every way...	...what is the way...
55459:18	and i haven't figured how *-1 to get that soft *t*-2,	###i can't say that i really enjoy it.###i wish that i did enjoy it more,###but i do it because i have *-1 to *?* not because i want *-2 to *?*.###speakerb8.###i bought a stationary bike,###but i find that if i sit on that seat too long, it hurts.###speakera9.###yeah,###yeah.###speakerb10.	how	no	no	how *-1 to get that soft *t*-2	yes	and i haven't figured  	,	...what is a way...	...what is every way...	...what is the way...
112241:25	and my kids wanted *-1 to learn how * to play it *t*-2	###speakera35.###have you *?*?###speakerb36.###i've never actually, never actually played it.###but,###speakera37.###well, it's really fun.###um, one of my neighbors moved here from memphis###and a lot of them played it,###and she started a group going in the neighborhood	how	no	no	how * to play it *t*-2	yes	a d my kids wa ted *-1 to lear 	n	...what is a way...	...what is every way...	...what is the way...
153560:105	i thought well you know. i don't want it if i don't know how * to oper-, you know, if i don't really know how * to use it *t*-1	###uh-huh.###speakera71.###speakerb72.###* set them off.###speakera73.### and, and, well i mean, you, you basically made it *exp*-1 clear to the person that you know unless he, unless, you know that you are a real danger to them###and then you know if you, if they manage *-1 to get the gun from you, you know their first reaction is going *-2 to be you know, * stop you.###speakerb74.###yeah,###well that's why i ended up *-1 giving it back to him *t*-2.	how	no	no	how * to use it *t*-1	yes	i thought  ell you kno . i don't  ant it if i don't kno  ho  * to oper-, you kno , if i don't really kno 	w	...what is a way...	...what is every way...	...what is the way...
38243:42	you can get real high powered stuff now for under two thousand dollars, where, you know, just a few years ago it would have been six, seven, eight, nine thousand dollars *t*-1.	###but they're so expensive.###speakera83.###well, i don't know,###there,###you can get,###well, * depends on what you consider *t*-1 expensive,###i mean,###speakerb84.###uh-huh.###speakera85.	where	yes		where, you know, just a few years ago it would have been six, seven, eight, nine thousand dollars *t*-1	yes	you can get real high powered stuff now for under two thousand dollars,  	.	...what is a place...	...what is every place...	...what is the place...
45293:31	now i don't know how, how it would be *t*-1 * bringing in, uh, like cat to a full, full grown dog.	###we had the cat first,###and then we got, uh, the chow.###and,, * bring, um, bringing them in as puppies they got along just fabulous with her.###speakerb36.###uh-huh.###speakera37.###and, uh, you would think, you know, that they were all dogs the way 0 she would prance around them and, and paw at their face *t*-1###and they'd just play###and they were never, they never harmed her.###so, uh, they got along great,	how	yes		how, how it would be *t*-1 * bringing in, uh, like cat to a full, full grown dog	yes	now i don't know  	.	...what is a way...	...what is every way...	...what is the way...
119619:23	i don't understand, too, why we have *-1 to have democrats and republicans *t*-2, and it's either one way or the other,	###that's another thing 0 i don't understand *t*-1 is, is, is things like * selling technology and, uh, even military hardware to foreign governments and then forgiving their debt###speakera23.###speakerb24.###to me that just doesn't make any sense, as, as much in debt as we are *?*###speakera25.###i know it.###speakerb26.### i just, i don't know.###i think 0 it's definitely time for a change,###but i don't see anybody,	why	no	yes	why we have *-1 to have democrats and republicans *t*-2, and it's either one way or the other	no	i don't understand  too   	,	...what is a reason...	...what is every reason...	...what is the reason...
100193:19	i just don't understand why they, so much want *-1 to just stay in that building *t*-2.	###but there's nobody there.###speakera83.###not as independence.###speakerb84.###don't you want *-1 to be close to me?. i mean, you know be with other people.###speakera85.###speakerb86.###speakera87.###yeah.###speakerb88.	why	no	yes	why they, so much want *-1 to just stay in that building *t*-2	no	i just don't understand  	.	...what is a reason...	...what is every reason...	...what is the reason...
