TGrepID	EntireSentence	PreceedingContext	Wh	ModalPresent	Finite	Question	Modal	Matrix	punct	AResponse	AllResponse	TheResponse
147817:18	and i don't know why anybody would want *-1 to get under that scrutiny anymore *t*-2.	###yeah,###they say 0 you, get the government 0 you deserve *t*-1.###speakera31.###and it,###speakerb32.###speakera33.###if they tell us the truth, we don't elect them and, especially with all this fron-, co-, stuff *ich*-1 coming up here lately about people's past,###speakerb34.###uh-huh.###speakera35.	why	yes		why anybody would want *-1 to get under that scrutiny anymore *t*-2	yes	and i don't know  	.	...what is a reason...	...what is every reason...	...what is the reason...
108116:24	you know, it's funny how you can just get in a mode where you only watch certain shows *t*-1 *t*-2	###uh, major dad.###speakera5.###oh, you like that one?###speakerb6.### i, i love it,###i think 0 it promotes good family values,###and it's funny.###speakera7.###uh-huh.###uh, i've never really watched that one.	how	yes		how you can just get in a mode where you only watch certain shows *t*-1 *t*-2	yes	 ou know, it's funn 	y	...what is a way...	...what is every way...	...what is the way...
225:95	i mean, i, i, i di-, i don't know how i would, how i would deal *t*-1 if one of my parents came with, with alzheimer's. or something like, that which *t*-2 is, which *t*-3 is far more devastating.	###um, i, i, i think 0 it would be,###it was more of a relief for her.###speakerb90.###uh-huh.###speakera91.###speakerb92.###sure.###speakera93.###and, um,###i mean, but she was truly, she was truly aware.	how	yes		how i would, how i would deal *t*-1 if one of my parents came with, with alzheimer's. or something like, that which *t*-2 is, which *t*-3 is far more devastating	yes	i mean, i, i, i di-, i don't know  	.	...what is a way...	...what is every way...	...what is the way...
48297:67	and i think 0 it's good that everyb-, and i think 0 everybody should learn how *-2 to handle one *t*-3.	###but good thing 0 they had their gun on them###and they, they thwarted the robbery attempt.###speakerb26.###yeah,### i, i'm, i'm not really sure,### i don't, personally i don't own a gun,###speakera27.###uh-huh.###speakerb28.###um, and i don't think 0 i probably ever would *?*, um, although i would like *-1 to know how *-2 to handle one *t*-3,	how	no	no	how *-2 to handle one *t*-3	yes	and i think 0 it's good that everyb-, and i think 0 everybody should learn  	.	...what is a way...	...what is every way...	...what is the way...
18647:16	i don't see how anything can survive out there, for long periods of time *t*-1.	###speakera147.### they, they, they still haven't gotten used to the dry land farming###but, the ir-, irrigation because it's gotten so bad the past few years,###speakerb148.###yeah,###that's true that,###speakera149.###but i don't know###i just came back from there###and just the air is so dry.	how	yes		how anything can survive out there, for long periods of time *t*-1	yes	i don't see  	.	...what is a way...	...what is every way...	...what is the way...
59572:79	and if they're sca-, if you got *-1 to go through a certification course *-1 to get where, to where you can carry it in public *t*-2, then this individual also knows 0 this guy's pretty good with it.	###um, i'm, quite concerned that if you let everyone 0 *t*-1 hasn't yet used a gun in a, haven't, hasn't yet committed a felony,###if you let them all walk around *-1 carrying guns###in this sort of wild west scenario, you're going *-1 to get an awful lot of people shooting guns pretty quickly just given human nature.###you're going *-1 to start *-2 getting a lot of gunfire.### it's, it *ich*-1's hard for me to imagine that a, a situation of, you know, * take it to a logical extreme, if everyone walking around *-2 carrying a guns you're not going *-1 to have an increase in gunfire.###speakerb84.### i, actually it's no-,###it's more of a police action in itself,###the fact that everybody is packing a piece is a deterrence for someone saying, well, i'm going *-1 to mug this guy right here###but hey, he's carrying just as much firepower as i can *?*.	where	yes		where you can carry it in public *t*-2	yes	and if they're sca-, if you got *-1 to go through a certification course *-1 to get where, to , then this individual also knows 0 this guy's pretty good with it 	.	...what is a place...	...what is every place...	...what is the place...
92015:77	and i think 0 they really it really pen-, penetrates in your memory, you know, what * to do *t*-1, because you really have a great interest in it. because it's something 0 you weren't forced *-2 to do *t*-3,	###speakerb51.###uh-huh.###speakera52.###it was like,###speakerb53.###well, you learn a lot of, um, skills too,###and i think 0 you're more receptive *ich*-5 *ich*-4 when you're younger *t*-1 than when you're older *t*-3, *-2 to learn new skills,###speakera54.###that's true.###speakerb55.	what	no	no	what * to do *t*-1	yes	and i think 0 they really it really pen-  penetrates in your memory  you know    because you really have a great interest in it. because it's something 0 you weren't forced *-2 to do *t*-3 	,	...what is a thing...	...what is every thing...	...what is the thing...
51975:21	i was going, god, how can you be so protective *t*-1? you, know	###speakera243.###speakerb244.###yes.###you do.###speakera245.###if,###speakerb246.### i don't, i don't think 0 there's anything wrong with that.###speakera247.###so, i at first thought, you know, when i didn't have kids *t*-1,	how	yes		god, how can you be so protective *t*-1?	yes	i  as going,  you, kno 	w	...what is a way...	...what is every way...	...what is the way...
82698:11	god knows why we hold it on tuesdays *t*-1.	###speakera9.###and foremost, uh, where we compare w-, that we are now doing fifty percent of our, uh, people are voting.###uh, we're probably making a comparison against, uh, some european and, uh, and, uh, uh, s-s-say, newer republics that, uh, that *t*-1 have very high percentages.###speakerb10.###uh-huh.###speakera11.###speakerb12.###uh-huh.###speakera13.###uh, so, uh, one of the reasons, uh, that, uh, o-, one of the reasons that we could get, uh, one of the reasons that it is lower in the united states *t*-1 is that mostly we hold it on tuesdays.	why	no	yes	why we hold it on tuesdays *t*-1	no	god knows  	.	...what is a reason...	...what is every reason...	...what is the reason...
8874:58	you know i don't have *-1 to worry about *-2 getting stuff on the carpet except when i track in saw dust *t*-3,	###speakera3.###there's something about * working with wood that, that i enjoy *t*-1, that,###i don't know if it's the saw dust or the mess 0 you make *t*-1 or the smell of the wood###but,###speakerb4.###as you know, i think 0 it's more like the mess 0 you make *t*-1, isn't it *?*?###you don't have *-1 to worry about *-2 cleaning it up.###speakera5.###yeah,###because it's, it's out there.	when	no	yes	when i track in saw dust *t*-3	no	you know i don't have *-1 to worry about *-2 getting stuff on the carpet except  	,	...what is a time...	...what is every time...	...what is the time...
